"nameWithOwner","url","createdAt","committedDate","commitCountAfterFork"
"jadecranford/home-loan-wizard","https://github.com/jadecranford/home-loan-wizard","2017-10-13T02:33:29Z","2017-10-09T14:41:16Z",0
"16smithcha/home-loan-wizard","https://github.com/16smithcha/home-loan-wizard","2017-10-13T02:34:47Z","2017-10-09T14:41:16Z",0
"scottwbishop/home-loan-wizard","https://github.com/scottwbishop/home-loan-wizard","2017-10-13T02:38:01Z","2017-10-09T14:41:16Z",0
"stefanichl/home-loan-wizard","https://github.com/stefanichl/home-loan-wizard","2017-10-13T02:38:01Z","2017-10-09T14:41:16Z",0
"thor820/home-loan-wizard","https://github.com/thor820/home-loan-wizard","2017-10-13T02:39:58Z","2017-10-09T14:41:16Z",0
"danakendall/home-loan-wizard","https://github.com/danakendall/home-loan-wizard","2017-10-14T15:17:10Z","2017-10-09T14:41:16Z",0
"Fideist/home-loan-wizard","https://github.com/Fideist/home-loan-wizard","2017-10-14T15:28:51Z","2017-10-14T19:40:36Z",1
"v2mprob/home-loan-wizard","https://github.com/v2mprob/home-loan-wizard","2017-10-14T15:29:02Z","2017-10-09T14:41:16Z",0
"twiscomb/home-loan-wizard","https://github.com/twiscomb/home-loan-wizard","2017-10-14T15:30:54Z","2017-10-09T14:41:16Z",0
"gitakpaudyal/home-loan-wizard","https://github.com/gitakpaudyal/home-loan-wizard","2017-10-14T17:12:05Z","2017-10-09T14:41:16Z",0
"BeardedGuruYT/home-loan-wizard","https://github.com/BeardedGuruYT/home-loan-wizard","2017-10-16T16:07:24Z","2017-10-09T14:41:16Z",0
"WilliamHartman/home-loan-wizard","https://github.com/WilliamHartman/home-loan-wizard","2017-10-16T16:10:15Z","2017-10-09T14:41:16Z",0
"NickHath/home-loan-wizard","https://github.com/NickHath/home-loan-wizard","2017-10-16T20:08:23Z","2017-10-17T01:13:46Z",13
"TMeamber/home-loan-wizard","https://github.com/TMeamber/home-loan-wizard","2017-10-16T20:14:49Z","2017-10-09T14:41:16Z",0
"chrisjxn/home-loan-wizard","https://github.com/chrisjxn/home-loan-wizard","2017-10-16T20:19:07Z","2017-10-21T16:09:21Z",1
"timknapp12/home-loan-wizard","https://github.com/timknapp12/home-loan-wizard","2017-10-16T20:21:27Z","2017-10-17T02:37:36Z",1
"chris-yi/home-loan-wizard","https://github.com/chris-yi/home-loan-wizard","2017-10-16T20:21:29Z","2017-10-09T14:41:16Z",0
"Natalia504/home-loan-wizard","https://github.com/Natalia504/home-loan-wizard","2017-10-16T20:22:04Z","2017-10-17T20:50:15Z",1
"seanqureshi/home-loan-wizard","https://github.com/seanqureshi/home-loan-wizard","2017-10-16T20:22:13Z","2017-10-16T23:09:23Z",1
"brantbagnall/home-loan-wizard","https://github.com/brantbagnall/home-loan-wizard","2017-10-16T20:22:31Z","2017-10-16T22:32:06Z",2
"TheTylerCook/home-loan-wizard","https://github.com/TheTylerCook/home-loan-wizard","2017-10-16T20:27:09Z","2017-10-16T20:34:38Z",1
"tingey21/home-loan-wizard","https://github.com/tingey21/home-loan-wizard","2017-10-16T20:27:39Z","2017-10-09T14:41:16Z",0
"kendrix7/home-loan-wizard","https://github.com/kendrix7/home-loan-wizard","2017-10-16T20:49:34Z","2017-10-09T14:41:16Z",0
"SheaClose/home-loan-wizard","https://github.com/SheaClose/home-loan-wizard","2017-10-19T00:56:33Z","2017-10-19T01:25:03Z",3
"CodeKaliber/home-loan-wizard","https://github.com/CodeKaliber/home-loan-wizard","2017-10-19T21:02:50Z","2017-10-09T14:41:16Z",0
"rileydadair/home-loan-wizard","https://github.com/rileydadair/home-loan-wizard","2017-10-26T18:31:23Z","2017-10-09T14:41:16Z",0
"BuddhaTheChef/home-loan-wizard","https://github.com/BuddhaTheChef/home-loan-wizard","2017-10-26T18:34:00Z","2017-10-26T21:32:20Z",1
"chuckcipione/home-loan-wizard","https://github.com/chuckcipione/home-loan-wizard","2017-10-26T18:36:09Z","2017-10-27T13:41:41Z",1
"loyher343/home-loan-wizard","https://github.com/loyher343/home-loan-wizard","2017-10-26T18:37:26Z","2017-10-09T14:41:16Z",0
"cpak11/home-loan-wizard","https://github.com/cpak11/home-loan-wizard","2017-10-26T18:41:05Z","2017-10-09T14:41:16Z",0
"KyleCieskiewicz/home-loan-wizard","https://github.com/KyleCieskiewicz/home-loan-wizard","2017-10-26T18:43:34Z","2017-10-26T21:06:59Z",1
"clarkmackenzieb/home-loan-wizard","https://github.com/clarkmackenzieb/home-loan-wizard","2017-10-26T18:43:47Z","2017-10-27T15:20:51Z",1
"vannvaughan/home-loan-wizard","https://github.com/vannvaughan/home-loan-wizard","2017-10-26T18:47:24Z","2017-10-09T14:41:16Z",0
"SavyParchman/home-loan-wizard","https://github.com/SavyParchman/home-loan-wizard","2017-10-26T18:47:47Z","2017-10-26T21:29:29Z",1
"screamworks/home-loan-wizard","https://github.com/screamworks/home-loan-wizard","2017-10-26T18:52:01Z","2017-10-26T20:36:16Z",1
