"nameWithOwner","url","createdAt","committedDate","commitCountAfterFork"
"NathanJTelford/react-animations-mini","https://github.com/NathanJTelford/react-animations-mini","2019-01-06T18:27:36Z","2018-07-02T16:44:41Z",0
"jeremylscott/react-animations-mini","https://github.com/jeremylscott/react-animations-mini","2019-01-07T13:01:40Z","2018-07-02T16:44:41Z",0
"jcpage02/react-animations-mini","https://github.com/jcpage02/react-animations-mini","2019-01-07T16:59:40Z","2018-07-02T16:44:41Z",0
"blake-buck/react-animations-mini","https://github.com/blake-buck/react-animations-mini","2019-02-02T20:22:24Z","2018-07-02T16:44:41Z",0
"gprakarsh/react-animations-mini","https://github.com/gprakarsh/react-animations-mini","2019-02-04T20:35:34Z","2019-02-04T21:29:11Z",1
"lucyloo47/react-animations-mini","https://github.com/lucyloo47/react-animations-mini","2019-02-06T22:12:45Z","2018-07-02T16:44:41Z",0
"Bperez4197/react-animations-mini","https://github.com/Bperez4197/react-animations-mini","2019-02-13T16:46:34Z","2019-02-13T17:48:18Z",1
"jbvhl/react-animations-mini","https://github.com/jbvhl/react-animations-mini","2019-02-25T01:21:19Z","2018-07-02T16:44:41Z",0
"bstrong86/react-animations-mini","https://github.com/bstrong86/react-animations-mini","2019-02-25T03:07:53Z","2018-07-02T16:44:41Z",0
"matias-perezferrero/react-animations-mini","https://github.com/matias-perezferrero/react-animations-mini","2019-02-25T18:54:17Z","2018-07-02T16:44:41Z",0
"mromero1591/react-animations-mini","https://github.com/mromero1591/react-animations-mini","2019-03-16T16:44:01Z","2019-03-16T17:41:03Z",1
"BrittanyBowman/react-animations-mini","https://github.com/BrittanyBowman/react-animations-mini","2019-03-18T15:29:50Z","2018-07-02T16:44:41Z",0
"Drewbin/react-animations-mini","https://github.com/Drewbin/react-animations-mini","2019-03-23T01:31:38Z","2018-07-02T16:44:41Z",0
"jessie-james/react-animations-mini","https://github.com/jessie-james/react-animations-mini","2019-03-29T20:04:35Z","2018-07-02T16:44:41Z",0
"IzikTaly/react-animations-mini","https://github.com/IzikTaly/react-animations-mini","2019-03-30T15:31:23Z","2018-07-02T16:44:41Z",0
