"nameWithOwner","url","createdAt","committedDate","commitCountAfterFork"
"spgunarath/webmail-lite","https://github.com/spgunarath/webmail-lite","2019-07-22T22:19:15Z","2019-01-09T11:54:40Z",0
"dpoper/webmail-lite","https://github.com/dpoper/webmail-lite","2019-10-24T18:17:57Z","2019-01-09T11:54:40Z",0
"Decoder1978/webmail-lite","https://github.com/Decoder1978/webmail-lite","2020-01-08T08:27:39Z","2019-11-08T07:19:27Z",0
"erichuang2015/webmail-lite","https://github.com/erichuang2015/webmail-lite","2020-04-01T01:24:43Z","2019-11-08T07:19:27Z",0
"P1eas1ng/webmail-lite","https://github.com/P1eas1ng/webmail-lite","2020-04-13T07:01:17Z","2019-11-08T07:19:27Z",0
"aijamie/webmail-lite","https://github.com/aijamie/webmail-lite","2020-04-17T17:29:56Z","2019-11-08T07:19:27Z",0
"Hdzjohan/webmail-lite","https://github.com/Hdzjohan/webmail-lite","2020-06-09T17:37:08Z","2019-11-08T07:19:27Z",0
"hixio-mh/webmail-lite","https://github.com/hixio-mh/webmail-lite","2020-08-23T18:12:42Z","2020-08-23T18:13:00Z",1
"digitalosaurus/webmail-lite","https://github.com/digitalosaurus/webmail-lite","2020-09-28T10:33:13Z","2019-11-08T07:19:27Z",0
"inmanturbo/webmail-lite","https://github.com/inmanturbo/webmail-lite","2020-12-17T07:33:06Z","2019-11-08T07:19:27Z",0
"rondeo-balos/webmail-lite","https://github.com/rondeo-balos/webmail-lite","2021-01-05T14:06:36Z","2021-01-06T17:02:52Z",1
"ryanbekabe/webmail-lite","https://github.com/ryanbekabe/webmail-lite","2021-02-22T01:37:53Z","2019-11-08T07:19:27Z",0
"mlzummo/webmail-lite","https://github.com/mlzummo/webmail-lite","2021-05-31T21:51:13Z","2019-11-08T07:19:27Z",0
"hw-1/webmail-lite","https://github.com/hw-1/webmail-lite","2021-06-08T07:48:38Z","2022-06-28T11:21:22Z",1
"phil0x1/webmail-lite","https://github.com/phil0x1/webmail-lite","2021-09-07T23:22:21Z","2019-11-08T07:19:27Z",0
"hanjinhang/webmail-lite","https://github.com/hanjinhang/webmail-lite","2022-02-21T05:45:40Z","2019-11-08T07:19:27Z",0
"Dheia/webmail-lite","https://github.com/Dheia/webmail-lite","2022-02-23T14:20:46Z","2019-11-08T07:19:27Z",0
"dexit/webmail-lite","https://github.com/dexit/webmail-lite","2022-07-05T16:22:09Z","2019-11-08T07:19:27Z",0
"eaglexmw-gmail/webmail-lite","https://github.com/eaglexmw-gmail/webmail-lite","2022-08-05T01:59:35Z","2019-11-08T07:19:27Z",0
"Boyquotes/webmail-lite","https://github.com/Boyquotes/webmail-lite","2023-03-15T04:32:08Z","2019-11-08T07:19:27Z",0
"kkeenee/webmail-lite","https://github.com/kkeenee/webmail-lite","2023-08-28T01:03:44Z","2019-11-08T07:19:27Z",0
"ebikjr/webmail-lite","https://github.com/ebikjr/webmail-lite","2023-10-06T11:06:39Z","2019-11-08T07:19:27Z",0
