"nameWithOwner","url","createdAt","committedDate","commitCountAfterFork"
"pranavlathigara/SwipeableCard","https://github.com/pranavlathigara/SwipeableCard","2015-11-30T07:41:20Z","2015-11-29T19:13:36Z",0
"datalink747/SwipeableCard","https://github.com/datalink747/SwipeableCard","2015-12-01T12:47:14Z","2015-11-29T19:13:36Z",0
"andy737/SwipeableCard","https://github.com/andy737/SwipeableCard","2015-12-01T17:36:25Z","2015-11-29T19:13:36Z",0
"Lerist/SwipeableCard","https://github.com/Lerist/SwipeableCard","2015-12-07T07:31:10Z","2015-12-05T10:49:57Z",0
"1201205/SwipeableCard","https://github.com/1201205/SwipeableCard","2015-12-07T15:21:11Z","2015-12-05T10:49:57Z",0
"onexuan/SwipeableCard","https://github.com/onexuan/SwipeableCard","2015-12-08T01:39:02Z","2015-12-07T22:10:39Z",0
"dalufine/SwipeableCard","https://github.com/dalufine/SwipeableCard","2015-12-09T03:57:02Z","2015-12-08T11:36:15Z",0
"huangwm1984/SwipeableCard","https://github.com/huangwm1984/SwipeableCard","2015-12-09T04:54:25Z","2015-12-08T11:36:15Z",0
"saggy/SwipeableCard","https://github.com/saggy/SwipeableCard","2015-12-09T05:45:52Z","2015-12-08T11:36:15Z",0
"chniccs/SwipeableCard","https://github.com/chniccs/SwipeableCard","2015-12-09T11:10:10Z","2015-12-08T11:36:15Z",0
"tadakatsu/SwipeableCard","https://github.com/tadakatsu/SwipeableCard","2015-12-10T08:18:26Z","2015-12-08T11:36:15Z",0
"balao7/SwipeableCard","https://github.com/balao7/SwipeableCard","2015-12-12T09:24:29Z","2015-12-12T00:52:12Z",0
"CuteView/SwipeableCard","https://github.com/CuteView/SwipeableCard","2015-12-14T05:50:19Z","2015-12-13T23:00:41Z",0
"kholam/SwipeableCard","https://github.com/kholam/SwipeableCard","2015-12-14T17:31:05Z","2015-12-14T16:49:49Z",0
"5hmlA/SwipeableCard","https://github.com/5hmlA/SwipeableCard","2015-12-15T01:18:07Z","2015-12-14T18:39:49Z",0
"daixj/SwipeableCard","https://github.com/daixj/SwipeableCard","2015-12-15T01:35:05Z","2015-12-14T18:39:49Z",0
"NEIL-ORZZH/SwipeableCard","https://github.com/NEIL-ORZZH/SwipeableCard","2015-12-15T03:35:17Z","2015-12-14T18:39:49Z",0
"coolstar1204/SwipeableCard","https://github.com/coolstar1204/SwipeableCard","2015-12-15T08:48:35Z","2015-12-14T18:39:49Z",0
"bensonX/SwipeableCard","https://github.com/bensonX/SwipeableCard","2015-12-16T05:02:11Z","2015-12-15T21:10:27Z",0
"rvganesh/SwipeableCard","https://github.com/rvganesh/SwipeableCard","2015-12-17T10:09:39Z","2015-12-15T21:10:27Z",0
"tanlocle0495/SwipeableCard","https://github.com/tanlocle0495/SwipeableCard","2015-12-17T15:14:58Z","2015-12-15T21:10:27Z",0
"yan96in/SwipeableCard","https://github.com/yan96in/SwipeableCard","2015-12-19T03:08:05Z","2015-12-15T21:10:27Z",0
"rtsbtx/SwipeableCard","https://github.com/rtsbtx/SwipeableCard","2015-12-20T15:45:37Z","2015-12-15T21:10:27Z",0
"0359xiaodong/SwipeableCard","https://github.com/0359xiaodong/SwipeableCard","2015-12-21T02:06:38Z","2015-12-15T21:10:27Z",0
"honeyflyfish/SwipeableCard","https://github.com/honeyflyfish/SwipeableCard","2015-12-21T03:48:57Z","2015-12-15T21:10:27Z",0
"Mybrc91/SwipeableCard","https://github.com/Mybrc91/SwipeableCard","2015-12-22T05:57:54Z","2015-12-15T21:10:27Z",0
"dgrlucky/SwipeableCard","https://github.com/dgrlucky/SwipeableCard","2016-01-15T16:22:05Z","2016-01-11T11:37:03Z",0
"shubham775/SwipeableCard","https://github.com/shubham775/SwipeableCard","2016-02-05T06:39:35Z","2016-02-02T14:51:02Z",0
"tata8k/SwipeableCard","https://github.com/tata8k/SwipeableCard","2016-02-17T01:33:16Z","2016-02-13T21:57:37Z",0
"Ranjan101/SwipeableCard","https://github.com/Ranjan101/SwipeableCard","2016-02-17T08:26:44Z","2016-02-13T21:57:37Z",0
"ashank/SwipeableCard","https://github.com/ashank/SwipeableCard","2016-02-19T16:58:44Z","2016-02-19T11:32:38Z",0
"LinX64/SwipeableCard","https://github.com/LinX64/SwipeableCard","2016-02-25T20:37:04Z","2016-02-21T14:38:16Z",0
"hyl87/SwipeableCard","https://github.com/hyl87/SwipeableCard","2016-03-04T07:05:29Z","2016-03-03T16:34:20Z",0
"ashishpatil396/SwipeableCard","https://github.com/ashishpatil396/SwipeableCard","2016-03-04T10:58:22Z","2016-03-03T16:34:20Z",0
"IRMobydick/SwipeableCard","https://github.com/IRMobydick/SwipeableCard","2016-03-05T08:29:03Z","2016-03-03T16:34:20Z",0
"sathishsr/SwipeableCard","https://github.com/sathishsr/SwipeableCard","2016-03-07T02:42:44Z","2016-03-03T16:34:20Z",0
"sharish/SwipeableCard","https://github.com/sharish/SwipeableCard","2016-03-07T03:03:58Z","2016-03-03T16:34:20Z",0
"UchihaKutter/SwipeableCard","https://github.com/UchihaKutter/SwipeableCard","2016-03-07T06:39:25Z","2016-03-03T16:34:20Z",0
"git-shadhin/SwipeableCard","https://github.com/git-shadhin/SwipeableCard","2016-03-09T21:54:38Z","2016-03-03T16:34:20Z",0
"MaTriXy/SwipeableCard","https://github.com/MaTriXy/SwipeableCard","2016-03-12T11:19:53Z","2016-05-16T16:02:02Z",34
"JackieLeon/SwipeableCard","https://github.com/JackieLeon/SwipeableCard","2016-03-14T14:52:21Z","2016-03-13T21:07:15Z",0
"haloSPark/SwipeableCard","https://github.com/haloSPark/SwipeableCard","2016-03-23T08:58:29Z","2016-03-19T23:48:11Z",0
"PoisonH/SwipeableCard","https://github.com/PoisonH/SwipeableCard","2016-03-27T13:17:34Z","2016-03-19T23:48:11Z",0
"lowfiend/SwipeableCard","https://github.com/lowfiend/SwipeableCard","2016-03-30T05:42:18Z","2016-03-19T23:48:11Z",0
"jakeren/SwipeableCard","https://github.com/jakeren/SwipeableCard","2016-04-10T12:00:24Z","2016-03-19T23:48:11Z",0
