nameWithOwner,url,createdAt,committedDate,commitCountAfterFork
meeshellmartini/jquery-course,https://github.com/meeshellmartini/jquery-course,2018-02-10T06:38:26Z,2018-02-07T15:47:19Z,0
Kamran-Wali/jquery-course,https://github.com/Kamran-Wali/jquery-course,2018-02-23T00:40:16Z,2018-02-07T15:47:19Z,0
DeepakTheGeek/jquery-course,https://github.com/DeepakTheGeek/jquery-course,2018-04-06T12:06:38Z,2018-02-07T15:47:19Z,0
sethbass14/jquery-course,https://github.com/sethbass14/jquery-course,2018-04-12T17:51:21Z,2018-02-07T15:47:19Z,0
prashantcs8/jquery-course,https://github.com/prashantcs8/jquery-course,2018-05-12T17:23:04Z,2018-02-07T15:47:19Z,0
mrblanchard/jquery-course,https://github.com/mrblanchard/jquery-course,2018-06-04T12:33:16Z,2018-02-07T15:47:19Z,0
Skilledmonkey/jquery-course,https://github.com/Skilledmonkey/jquery-course,2018-07-09T12:34:31Z,2018-02-07T15:47:19Z,0
stevenxtai/jquery-course,https://github.com/stevenxtai/jquery-course,2018-07-17T05:00:44Z,2018-02-07T15:47:19Z,0
madeleinehuish/jquery-course,https://github.com/madeleinehuish/jquery-course,2018-07-27T13:01:58Z,2018-02-07T15:47:19Z,0
KimGonzales/jquery-course,https://github.com/KimGonzales/jquery-course,2018-07-30T16:37:05Z,2018-02-07T15:47:19Z,0
Maulik1894/jquery-course,https://github.com/Maulik1894/jquery-course,2018-08-22T03:29:19Z,2018-02-07T15:47:19Z,0
Jimmi08/jquery-course,https://github.com/Jimmi08/jquery-course,2018-08-28T11:17:55Z,2018-02-07T15:47:19Z,0
ZezinDoGit/jquery-course,https://github.com/ZezinDoGit/jquery-course,2018-09-19T16:58:41Z,2018-02-07T15:47:19Z,0
nhacck4444/jquery-course,https://github.com/nhacck4444/jquery-course,2018-09-26T14:56:07Z,2018-02-07T15:47:19Z,0
mysmile15/jquery-course,https://github.com/mysmile15/jquery-course,2018-10-14T18:06:59Z,2018-02-07T15:47:19Z,0
monwil99/jquery-course,https://github.com/monwil99/jquery-course,2018-10-17T16:13:32Z,2018-11-14T11:14:19Z,3
chris-yi/jquery-course,https://github.com/chris-yi/jquery-course,2018-11-19T21:25:29Z,2018-02-07T15:47:19Z,0
JenniferHaren/jquery-course,https://github.com/JenniferHaren/jquery-course,2018-11-28T19:21:50Z,2018-02-07T15:47:19Z,0
saccogf/jquery-course,https://github.com/saccogf/jquery-course,2018-11-29T23:33:38Z,2018-11-30T01:41:18Z,1
CryptopurrColumbus/jquery-course,https://github.com/CryptopurrColumbus/jquery-course,2018-12-08T05:55:39Z,2018-02-07T15:47:19Z,0
louismoura/jquery-course,https://github.com/louismoura/jquery-course,2019-01-07T09:06:06Z,2018-02-07T15:47:19Z,0
rauleddie/jquery-course,https://github.com/rauleddie/jquery-course,2019-02-26T22:02:51Z,2018-02-07T15:47:19Z,0
ramazankarginn/jquery-course,https://github.com/ramazankarginn/jquery-course,2019-03-01T12:03:57Z,2018-02-07T15:47:19Z,0
mira06/jquery-course,https://github.com/mira06/jquery-course,2019-03-05T05:31:09Z,2018-02-07T15:47:19Z,0
cherinlinson/jquery-course,https://github.com/cherinlinson/jquery-course,2019-03-11T19:05:43Z,2018-02-07T15:47:19Z,0
Sneha837/jquery-course,https://github.com/Sneha837/jquery-course,2019-03-11T19:18:04Z,2018-02-07T15:47:19Z,0
parveen999/jquery-course,https://github.com/parveen999/jquery-course,2019-03-11T19:22:35Z,2018-02-07T15:47:19Z,0
lixiaopi1985/jquery-course,https://github.com/lixiaopi1985/jquery-course,2019-03-13T21:36:57Z,2018-02-07T15:47:19Z,0
jeffday90/jquery-course,https://github.com/jeffday90/jquery-course,2019-03-18T20:22:55Z,2018-02-07T15:47:19Z,0
Sapna3626/jquery-course,https://github.com/Sapna3626/jquery-course,2019-03-19T18:18:57Z,2018-02-07T15:47:19Z,0
parneet287/jquery-course,https://github.com/parneet287/jquery-course,2019-03-19T18:59:25Z,2018-02-07T15:47:19Z,0
ninjanutz/jquery-course,https://github.com/ninjanutz/jquery-course,2019-03-23T04:30:49Z,2018-02-07T15:47:19Z,0
rujirassw/jquery-course,https://github.com/rujirassw/jquery-course,2019-04-04T02:26:29Z,2018-02-07T15:47:19Z,0
smahanta/jquery-course,https://github.com/smahanta/jquery-course,2019-05-24T16:58:34Z,2018-02-07T15:47:19Z,0
manishy635/jquery-course,https://github.com/manishy635/jquery-course,2019-05-28T07:38:30Z,2018-02-07T15:47:19Z,0
marqrdt/jquery-course,https://github.com/marqrdt/jquery-course,2019-06-11T23:01:33Z,2018-02-07T15:47:19Z,0
AMIRABEDINI/jquery-course,https://github.com/AMIRABEDINI/jquery-course,2019-06-27T17:16:15Z,2018-02-07T15:47:19Z,0
souvick88/jquery-course,https://github.com/souvick88/jquery-course,2019-08-01T19:57:45Z,2018-02-07T15:47:19Z,0
WebDevCaptain/jquery-course,https://github.com/WebDevCaptain/jquery-course,2019-08-07T13:11:40Z,2018-02-07T15:47:19Z,0
denzelhartshorn/jquery-course,https://github.com/denzelhartshorn/jquery-course,2019-08-17T19:52:15Z,2018-02-07T15:47:19Z,0
Stultz-e/jquery-course,https://github.com/Stultz-e/jquery-course,2019-09-05T02:00:43Z,2018-02-07T15:47:19Z,0
louisevdb84/jquery-course,https://github.com/louisevdb84/jquery-course,2019-09-19T12:49:34Z,2018-02-07T15:47:19Z,0
Tangent314/jquery-course,https://github.com/Tangent314/jquery-course,2019-09-24T00:00:13Z,2018-02-07T15:47:19Z,0
mycoola-zz/jquery-course,https://github.com/mycoola-zz/jquery-course,2019-09-28T13:18:27Z,2018-02-07T15:47:19Z,0
ansigara/jquery-course,https://github.com/ansigara/jquery-course,2019-10-04T00:30:00Z,2018-02-07T15:47:19Z,0
ShubhamSingh1112/jquery-course,https://github.com/ShubhamSingh1112/jquery-course,2019-10-05T17:55:45Z,2018-02-07T15:47:19Z,0
effie-git/jquery-course,https://github.com/effie-git/jquery-course,2019-10-14T03:07:16Z,2018-02-07T15:47:19Z,0
pj-wise/jquery-course,https://github.com/pj-wise/jquery-course,2019-10-23T22:50:52Z,2018-02-07T15:47:19Z,0
acelioco/jquery-course,https://github.com/acelioco/jquery-course,2019-10-29T08:47:35Z,2018-02-07T15:47:19Z,0
GJGJ7583/jquery-course,https://github.com/GJGJ7583/jquery-course,2019-11-03T19:28:51Z,2018-02-07T15:47:19Z,0
usergnavarro/jquery-course,https://github.com/usergnavarro/jquery-course,2019-11-06T14:18:17Z,2018-02-07T15:47:19Z,0
b1oo/jquery-course,https://github.com/b1oo/jquery-course,2019-11-08T08:11:57Z,2018-02-07T15:47:19Z,0
kartislin/jquery-course,https://github.com/kartislin/jquery-course,2019-11-26T05:05:51Z,2018-02-07T15:47:19Z,0
gaowujian/jquery-course,https://github.com/gaowujian/jquery-course,2019-11-26T06:19:52Z,2018-02-07T15:47:19Z,0
GhimireS/jquery-course,https://github.com/GhimireS/jquery-course,2019-12-03T11:03:10Z,2018-02-07T15:47:19Z,0
GodaProjects/jquery-course,https://github.com/GodaProjects/jquery-course,2019-12-04T16:13:52Z,2018-02-07T15:47:19Z,0
sandeepghimire77/jquery-course,https://github.com/sandeepghimire77/jquery-course,2019-12-08T20:37:07Z,2018-02-07T15:47:19Z,0
sandeepsundaram/jquery-course,https://github.com/sandeepsundaram/jquery-course,2020-01-01T18:38:09Z,2018-02-07T15:47:19Z,0
ahmadwaheed/jquery-course,https://github.com/ahmadwaheed/jquery-course,2020-01-04T09:43:17Z,2018-02-07T15:47:19Z,0
