"nameWithOwner","url","createdAt","committedDate","commitCountAfterFork"
"bcbhuva/native-starter-kit","https://github.com/bcbhuva/native-starter-kit","2017-08-02T18:34:44Z","2017-06-23T10:32:10Z",0
"edmondpr/native-starter-kit","https://github.com/edmondpr/native-starter-kit","2017-08-04T16:17:47Z","2017-08-03T06:02:59Z",0
"Maelstroms/touro","https://github.com/Maelstroms/touro","2017-08-10T15:17:10Z","2017-08-30T00:19:20Z",21
"bankshuang/native-starter-kit","https://github.com/bankshuang/native-starter-kit","2017-08-11T02:57:15Z","2017-08-03T06:02:59Z",0
"honggiang13/VN.TQC.APP","https://github.com/honggiang13/VN.TQC.APP","2017-08-12T03:56:55Z","2017-08-03T06:02:59Z",0
"alonesia/native-starter-kit","https://github.com/alonesia/native-starter-kit","2017-08-16T20:53:33Z","2017-08-03T06:02:59Z",0
"spoko22/native-starter-kit","https://github.com/spoko22/native-starter-kit","2017-08-20T22:21:41Z","2017-08-03T06:02:59Z",0
"JoshvaR88/native-starter-kit","https://github.com/JoshvaR88/native-starter-kit","2017-08-23T07:15:34Z","2017-08-03T06:02:59Z",0
"William-Hill/native-starter-kit","https://github.com/William-Hill/native-starter-kit","2017-08-27T20:49:09Z","2017-08-03T06:02:59Z",0
"mengyou658/native-starter-kit","https://github.com/mengyou658/native-starter-kit","2017-08-29T01:39:11Z","2017-08-03T06:02:59Z",0
"almegdad/native-starter-kit","https://github.com/almegdad/native-starter-kit","2017-09-05T06:58:42Z","2017-09-05T07:08:19Z",1
"darkite/native-starter-kit","https://github.com/darkite/native-starter-kit","2017-09-05T07:00:26Z","2017-08-03T06:02:59Z",0
"minhlucvan/native-starter-kit","https://github.com/minhlucvan/native-starter-kit","2017-09-05T16:08:05Z","2017-08-03T06:02:59Z",0
"Techdojo/native-starter-kit","https://github.com/Techdojo/native-starter-kit","2017-09-05T19:50:36Z","2017-08-03T06:02:59Z",0
"chhai-chivon-react-native/native-starter-kit","https://github.com/chhai-chivon-react-native/native-starter-kit","2017-09-06T12:01:22Z","2017-08-03T06:02:59Z",0
"quany/native-starter-kit","https://github.com/quany/native-starter-kit","2017-09-07T05:48:35Z","2017-08-03T06:02:59Z",0
"awchang56/native-starter-kit","https://github.com/awchang56/native-starter-kit","2017-09-07T19:36:49Z","2017-08-03T06:02:59Z",0
"sfelde/native-starter-kit","https://github.com/sfelde/native-starter-kit","2017-09-10T21:51:32Z","2017-08-03T06:02:59Z",0
"cafedeflore/native-starter-kit","https://github.com/cafedeflore/native-starter-kit","2017-09-12T09:13:15Z","2017-08-03T06:02:59Z",0
"fabioespinosa/native-starter-kit","https://github.com/fabioespinosa/native-starter-kit","2017-09-13T18:41:45Z","2017-08-03T06:02:59Z",0
"sgbluebird/native-starter-kit","https://github.com/sgbluebird/native-starter-kit","2017-09-14T00:07:26Z","2017-08-03T06:02:59Z",0
"julienmachon/native-starter-kit","https://github.com/julienmachon/native-starter-kit","2017-09-14T15:27:38Z","2017-08-03T06:02:59Z",0
"alecperkey/native-starter-kit","https://github.com/alecperkey/native-starter-kit","2017-09-18T20:50:30Z","2017-09-18T23:48:58Z",1
