nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
SheaClose/framework-shop,https://github.com/SheaClose/framework-shop,2017-04-14T02:28:04+09,2017-04-14T03:19:40+09,1,8,14,0,0,0,0
mrgaud/framework-shop,https://github.com/mrgaud/framework-shop,2017-04-14T03:34:32+09,2017-04-14T07:32:11+09,1,221,87,0,0,3,0
qais11/framework-shop,https://github.com/qais11/framework-shop,2017-04-14T03:40:18+09,2017-04-14T07:07:58+09,1,152,47,0,0,3,0
jonathanrcrook/framework-shop,https://github.com/jonathanrcrook/framework-shop,2017-04-14T03:41:08+09,2017-04-14T07:01:23+09,1,130,24,0,0,3,0
daanishnasir/framework-shop,https://github.com/daanishnasir/framework-shop,2017-04-14T03:42:35+09,2017-04-14T06:36:32+09,2,154,36,0,0,3,0
bfletcherbiggs/framework-shop,https://github.com/bfletcherbiggs/framework-shop,2017-04-14T03:59:03+09,2017-04-14T11:32:22+09,1,217,38,0,0,4,0
jmitchell0528/framework-shop,https://github.com/jmitchell0528/framework-shop,2017-04-14T04:42:08+09,2017-04-14T11:49:27+09,1,136,25,0,0,3,0
bluecherryme/framework-shop,https://github.com/bluecherryme/framework-shop,2017-06-19T23:37:16+09,2017-06-20T06:27:16+09,1,147,40,0,0,3,0
jaygraygray/framework-shop,https://github.com/jaygraygray/framework-shop,2017-06-19T23:43:01+09,2017-06-20T03:21:07+09,1,6109,3,0,0,2,0
mitch-foster/framework-shop,https://github.com/mitch-foster/framework-shop,2017-06-19T23:57:29+09,2017-06-20T11:42:46+09,1,6303,71,0,0,4,0
lpabst/framework-shop,https://github.com/lpabst/framework-shop,2017-06-20T00:15:47+09,2017-06-20T05:20:54+09,3,142,35,0,0,3,0
rnoelle/framework-shop,https://github.com/rnoelle/framework-shop,2017-06-20T00:45:05+09,2017-06-20T02:38:52+09,1,6073,34,0,0,4,0
jdpabst/framework-shop,https://github.com/jdpabst/framework-shop,2017-06-20T04:13:22+09,2017-06-20T05:49:45+09,1,209,108,0,0,3,0
eliKeetch/framework-shop,https://github.com/eliKeetch/framework-shop,2017-06-20T04:18:47+09,2017-06-20T06:45:26+09,1,213,106,0,0,3,0
Vicki1/framework-shop,https://github.com/Vicki1/framework-shop,2017-06-20T04:45:21+09,2017-06-20T07:25:10+09,1,122,22,0,0,3,0
ehuntsman/framework-shop,https://github.com/ehuntsman/framework-shop,2017-06-20T04:47:34+09,2017-06-20T05:33:29+09,1,6280,64,0,0,4,0
jordanfuzz/framework-shop,https://github.com/jordanfuzz/framework-shop,2017-06-20T05:05:07+09,2017-06-20T06:58:52+09,1,137,36,0,0,3,0
ashlyndanielle/framework-shop,https://github.com/ashlyndanielle/framework-shop,2017-06-20T05:10:35+09,2017-06-20T07:17:07+09,1,173,66,0,0,3,0
jesspoemape/framework-shop,https://github.com/jesspoemape/framework-shop,2017-06-20T05:11:16+09,2017-06-20T06:57:59+09,1,143,35,0,0,3,0
bethtelford/framework-shop,https://github.com/bethtelford/framework-shop,2017-06-20T05:16:11+09,2017-06-20T06:26:35+09,1,135,38,0,0,3,0
chrnzhng/framework-shop,https://github.com/chrnzhng/framework-shop,2017-06-20T05:31:32+09,2017-06-20T08:03:22+09,1,226,121,0,0,3,0
MeganMFisher/framework-shop,https://github.com/MeganMFisher/framework-shop,2017-07-06T00:34:11+09,2017-07-08T06:20:32+09,1,6254,11,0,0,2,0
daveguymon/framework-shop,https://github.com/daveguymon/framework-shop,2017-07-08T01:29:03+09,2017-07-08T07:38:10+09,7,6363,33,0,0,4,0
