nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
GL-A/employee-manager,https://github.com/GL-A/employee-manager,2017-06-09T05:24:40+09,2017-07-06T07:00:04+09,3,38,2,0,0,0,0
Justiceleeg/employee-manager,https://github.com/Justiceleeg/employee-manager,2017-06-13T11:57:04+09,2017-06-14T09:08:17+09,1,6123,10,0,0,1,0
mitch-foster/employee-manager,https://github.com/mitch-foster/employee-manager,2017-06-13T12:51:42+09,2017-06-14T08:10:43+09,1,351,32,0,0,0,0
dontimoteo21/employee-manager,https://github.com/dontimoteo21/employee-manager,2017-06-14T00:13:06+09,2017-06-14T21:55:25+09,1,5936,60,0,0,1,0
bethtelford/employee-manager,https://github.com/bethtelford/employee-manager,2017-06-14T00:48:16+09,2017-06-14T07:45:42+09,1,400,56,0,0,0,0
nkaleigh/employee-manager,https://github.com/nkaleigh/employee-manager,2017-06-14T01:07:49+09,2017-06-14T05:05:11+09,1,12,2,0,0,0,0
jaygraygray/employee-manager,https://github.com/jaygraygray/employee-manager,2017-06-14T02:18:16+09,2017-06-18T09:11:53+09,6,336,58,0,0,2,0
rnoelle/employee-manager,https://github.com/rnoelle/employee-manager,2017-06-14T02:27:22+09,2017-06-14T06:31:54+09,1,663,130,0,0,4,0
lpabst/employee-manager,https://github.com/lpabst/employee-manager,2017-06-14T03:39:31+09,2017-06-14T07:29:40+09,9,409,31,0,0,4,0
jdpabst/employee-manager,https://github.com/jdpabst/employee-manager,2017-06-14T04:08:16+09,2017-06-14T07:06:28+09,8,209,19,0,0,3,0
ehuntsman/employee-manager,https://github.com/ehuntsman/employee-manager,2017-06-14T04:32:56+09,2017-06-14T07:10:17+09,1,426,21,0,0,0,0
NDMueller/employee-manager,https://github.com/NDMueller/employee-manager,2017-06-14T04:37:01+09,2017-06-14T06:39:46+09,1,430,58,0,0,3,0
