nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
MeganMFisher/http-afternoon,https://github.com/MeganMFisher/http-afternoon,2017-10-17T06:34:44+09,2017-12-06T03:11:51+09,7,195,50,2,4,0,0
erikgolden7/http-afternoon,https://github.com/erikgolden7/http-afternoon,2017-10-17T14:30:20+09,2017-10-18T01:33:24+09,1,2934318,202,183385,0,24867,0
SheaClose/http-afternoon,https://github.com/SheaClose/http-afternoon,2017-10-18T00:56:57+09,2017-10-18T00:57:15+09,1,1041,589,0,0,0,0
AjaAlexandra2/http-afternoon,https://github.com/AjaAlexandra2/http-afternoon,2017-10-18T04:13:13+09,2017-10-18T10:22:15+09,1,167,66,0,0,0,0
LeahDombrosky/http-afternoon,https://github.com/LeahDombrosky/http-afternoon,2017-10-18T04:13:25+09,2017-10-18T23:01:01+09,1,139,931,0,0,0,0
MightyJoeW/http-afternoon,https://github.com/MightyJoeW/http-afternoon,2017-10-18T04:13:53+09,2017-10-18T06:49:24+09,1,155,27,0,0,0,0
matthcarson01/http-afternoon,https://github.com/matthcarson01/http-afternoon,2017-10-18T04:20:45+09,2017-10-18T08:45:49+09,1,114,28,0,0,0,0
mariohoyos92/http-afternoon,https://github.com/mariohoyos92/http-afternoon,2017-10-18T04:22:49+09,2017-10-18T06:46:53+09,1,301,188,0,0,0,0
chriswfoster/http-afternoon,https://github.com/chriswfoster/http-afternoon,2017-10-18T04:40:46+09,2017-12-13T07:53:54+09,2,182,107,0,0,0,0
johnpwood/http-afternoon,https://github.com/johnpwood/http-afternoon,2017-10-25T05:25:19+09,2017-10-25T06:01:14+09,1,2684434,918,167879,0,22732,0
kekoawilson/http-afternoon,https://github.com/kekoawilson/http-afternoon,2017-11-01T04:41:06+09,2017-11-08T08:02:40+09,1,232,106,0,0,0,0
doorain/http-afternoon,https://github.com/doorain/http-afternoon,2017-11-01T05:34:01+09,2017-11-07T11:28:31+09,2,150,46,0,0,0,0
sbready/http-afternoon,https://github.com/sbready/http-afternoon,2017-11-01T05:42:22+09,2017-11-01T08:16:26+09,1,114,35,0,0,1,0
FoxChrisRealTheGit/http-afternoon,https://github.com/FoxChrisRealTheGit/http-afternoon,2017-12-04T02:53:31+09,2017-12-06T07:42:22+09,1,318,978,0,0,0,0
bpoole5591/http-afternoon,https://github.com/bpoole5591/http-afternoon,2017-12-05T22:53:58+09,2017-12-07T02:18:35+09,1,619,41,0,0,0,0
jnaught/http-afternoon,https://github.com/jnaught/http-afternoon,2017-12-06T03:57:56+09,2017-12-07T05:13:05+09,2,676,32,0,0,0,0
Jinyeob-Kim/http-afternoon,https://github.com/Jinyeob-Kim/http-afternoon,2017-12-06T04:05:17+09,2017-12-06T07:25:52+09,1,1273,535,0,0,0,0
larryzli/http-afternoon,https://github.com/larryzli/http-afternoon,2017-12-06T04:18:37+09,2017-12-06T08:47:08+09,4,1286,541,0,0,0,0
jordansnow89/http-afternoon,https://github.com/jordansnow89/http-afternoon,2017-12-06T04:21:15+09,2017-12-07T08:12:53+09,2,621,44,0,0,0,0
Hammer-Keith/http-afternoon,https://github.com/Hammer-Keith/http-afternoon,2017-12-06T04:24:56+09,2017-12-06T07:51:36+09,1,170,36,0,0,0,0
colebrianj/http-afternoon,https://github.com/colebrianj/http-afternoon,2017-12-06T04:35:19+09,2017-12-08T00:15:17+09,1,621,47,0,0,0,0
BrunoCDev/http-afternoon,https://github.com/BrunoCDev/http-afternoon,2017-12-06T04:35:59+09,2017-12-06T07:40:56+09,1,643,69,0,0,0,0
PowellBrand/http-afternoon,https://github.com/PowellBrand/http-afternoon,2017-12-06T04:42:07+09,2017-12-06T08:50:38+09,2,262,110,0,0,0,0
celias/http-afternoon,https://github.com/celias/http-afternoon,2017-12-06T04:46:04+09,2018-01-31T07:50:47+09,3,777,36,0,0,0,0
thuanty5/http-afternoon,https://github.com/thuanty5/http-afternoon,2017-12-06T04:48:42+09,2017-12-07T00:04:42+09,1,163,26,0,0,0,0
rachelruff/http-afternoon,https://github.com/rachelruff/http-afternoon,2017-12-06T04:53:31+09,2018-01-02T12:46:13+09,1,1228,1455,0,0,0,0
jmarc21/http-afternoon,https://github.com/jmarc21/http-afternoon,2017-12-06T04:55:45+09,2017-12-06T07:56:29+09,1,248,119,0,0,0,0
