nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
MightyJoeW/redux-counter,https://github.com/MightyJoeW/redux-counter,2017-10-31T01:28:01+09,2018-04-26 05:05:52+09:00,13,13363,2313,275,389,2,5,1524686752,0.34392643098363906,1.0,0.558874041804549,1.0,1.0,1.0,0.25,1.0,0.7691000590985234
kguyton6/react-5-mini,https://github.com/kguyton6/react-5-mini,2018-09-04T02:41:01+09,2018-09-04 13:45:24+09:00,4,23894,12,0,0,8,0,1536036324,0.4613611534921013,0.25,1.0,0.004757785467128028,0.0,0.0,1.0,0.0,0.3395148673699037
jmlattanzi/react-5-mini,https://github.com/jmlattanzi/react-5-mini,2019-01-28T02:54:16+09,2019-01-29 03:12:43+09:00,2,15909,1569,0,0,1,0,1548699163,0.5923843307655996,0.08333333333333333,0.6655217190968877,0.6782006920415224,0.0,0.0,0.125,0.0,0.26805500940466787
kung8/react-5-mini,https://github.com/kung8/react-5-mini,2019-02-19T03:33:29+09,2020-04-29 02:05:03+09:00,1,12020,12,0,0,1,0,1588093503,1.0,0.0,0.5026180203577263,0.004757785467128028,0.0,0.0,0.125,0.0,0.2040469757281068
Jarid11/react-5-mini,https://github.com/Jarid11/react-5-mini,2018-04-03T01:40:20+09,2018-04-03 22:53:20+09:00,1,11630,1461,0,0,1,0,1522763600,0.32402745845308073,0.0,0.4862815733255142,0.6314878892733564,0.0,0.0,0.125,0.0,0.1958496151314939
amantina05/react-5-mini,https://github.com/amantina05/react-5-mini,2020-01-05T13:48:54+09,2020-01-07 02:42:30+09:00,1,12221,15,0,0,1,0,1578332550,0.8990028164081305,0.0,0.511037573828174,0.006055363321799308,0.0,0.0,0.125,0.0,0.19263696919476297
qqqy/react-5-mini,https://github.com/qqqy/react-5-mini,2018-12-18T03:36:43+09,2018-12-18 07:23:27+09:00,1,12013,10,0,0,2,1,1545085407,0.5549925742241819,0.0,0.502324802077661,0.0038927335640138406,0.0,0.0,0.25,0.2,0.1889012637332321
mromero1591/react-5-mini,https://github.com/mromero1591/react-5-mini,2019-03-03T04:42:15+09,2019-03-03 05:47:19+09:00,1,4639,1530,0,0,0,0,1551559639,0.6219818526194736,0.0,0.19344028819168096,0.6613321799307958,0.0,0.0,0.0,0.0,0.1845942900927438
danlubbers/react-5-mini,https://github.com/danlubbers/react-5-mini,2018-04-09T09:50:00+09,2018-04-10 04:40:49+09:00,1,11903,12,0,0,5,0,1523302849,0.3296071011636575,0.0,0.49771708624806266,0.004757785467128028,0.0,0.0,0.625,0.0,0.182135246609856
JerryChen559/react-5-mini,https://github.com/JerryChen559/react-5-mini,2018-10-16T00:55:59+09,2018-10-16 02:33:21+09:00,1,11976,12,0,0,2,1,1539624801,0.49849134665912104,0.0,0.500774934025887,0.004757785467128028,0.0,0.0,0.25,0.2,0.181753008269017
