nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
MaTriXy/NavigationTabBar,https://github.com/MaTriXy/NavigationTabBar,2016-04-05T20:12:29+09,2017-01-16 21:44:24+09:00,69,3584,1952,258,116,9,4,1484570664,0.08838085976588447,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8860476074707355
GIGAMOLE/NavigationTabBar,https://github.com/GIGAMOLE/NavigationTabBar,2016-07-26T23:49:26+09,2018-05-22 06:49:08+09:00,29,525,432,139,108,0,0,1526939348,0.27837336520989714,0.4117647058823529,0.14624616243371477,0.22131147540983606,0.5387596899224806,0.9310344827586207,0.0,0.0,0.3159362352021128
zhangdengjie/NavigationTabBar,https://github.com/zhangdengjie/NavigationTabBar,2023-06-25T11:02:54+09,2023-06-27 19:57:17+09:00,6,2458,187,0,0,3,1,1687863437,1.0,0.07352941176470588,0.6857382082054144,0.09579918032786885,0.0,0.0,0.3333333333333333,0.25,0.3048000167039153
ljf1172361058/NavigationTabBar,https://github.com/ljf1172361058/NavigationTabBar,2016-11-03T11:45:06+09,2017-05-19 18:16:50+09:00,11,381,318,57,22,0,0,1495185410,0.1359802184618452,0.14705882352941177,0.10605637733742673,0.16290983606557377,0.22093023255813954,0.1896551724137931,0.0,0.0,0.12032383254577377
beyondeye/NavigationTabBar,https://github.com/beyondeye/NavigationTabBar,2016-06-02T14:11:56+09,2016-06-02 18:59:27+09:00,1,1014,7,6,1,5,0,1464861567,0.0,0.0,0.28272397432319285,0.003586065573770492,0.023255813953488372,0.008620689655172414,0.5555555555555556,0.0,0.10921776238264747
jungjungin/NavigationTabBar,https://github.com/jungjungin/NavigationTabBar,2019-03-20T16:18:33+09,2021-03-08 09:44:25+09:00,3,154,0,0,0,1,0,1615164265,0.6739974781377394,0.029411764705882353,0.042701646664806026,0.0,0.0,0.0,0.1111111111111111,0.0,0.10715275007744235
xiange-lxc-1/NavigationTabBar,https://github.com/xiange-lxc-1/NavigationTabBar,2021-06-03T16:42:25+09,2021-06-03 16:45:34+09:00,1,1,0,0,0,1,0,1622706334,0.7078181317492988,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.10236615535755123
zhongjhATC/NavigationTabBar,https://github.com/zhongjhATC/NavigationTabBar,2021-04-04T01:27:43+09,2021-04-04 01:46:35+09:00,1,20,1,0,0,1,0,1617468395,0.6843298130190567,0.0,0.005302818866871337,0.0005122950819672131,0.0,0.0,0.1111111111111111,0.0,0.1001570047598758
tucomel/NavigationTabBar,https://github.com/tucomel/NavigationTabBar,2018-04-27T15:23:06+09,2018-04-27 15:24:35+09:00,1,21,19,0,0,0,0,1524810275,0.26882603271443417,0.0,0.0055819145967066705,0.00973360655737705,0.0,0.0,0.0,0.0,0.03551769423356474
katoro/NavigationTabBar,https://github.com/katoro/NavigationTabBar,2017-08-11T13:55:42+09,2017-08-16 20:32:13+09:00,2,7,1,0,0,0,0,1502883133,0.1704988662202698,0.014705882352941176,0.0016745743790120011,0.0005122950819672131,0.0,0.0,0.0,0.0,0.023423952254273774
Fe-Ordan/NavigationTabBar,https://github.com/Fe-Ordan/NavigationTabBar,2017-09-13T18:11:39+09,2017-09-21 18:05:34+09:00,1,1,1,0,0,0,0,1505984734,0.18440727425290201,0.0,0.0,0.0005122950819672131,0.0,0.0,0.0,0.0,0.023114946166858653
WinnieXi/NavigationTabBar,https://github.com/WinnieXi/NavigationTabBar,2016-09-27T16:17:25+09,2016-09-27 16:18:53+09:00,1,4,1,4,1,0,0,1474960733,0.04528736014635214,0.0,0.0008372871895060006,0.0005122950819672131,0.015503875968992248,0.008620689655172414,0.0,0.0,0.008845188505248751
