nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
joeltrew/react-native-mock,https://github.com/joeltrew/react-native-mock,2016-03-31T23:43:37+09,2016-04-08 18:03:41+09:00,3,7626,5482,0,31,71,76,1460106221,0.002790591212640559,0.014925373134328358,0.534895139229852,1.0,0.0,1.0,0.6016949152542372,1.0,0.5192882523538823
andrey-skl/react-native-mock,https://github.com/andrey-skl/react-native-mock,2016-04-06T02:09:44+09,2017-06-19 18:55:19+09:00,135,2376,913,23,5,31,0,1497866119,0.18101819961318558,1.0,0.16665497650277056,0.16654505654870486,1.0,0.16129032258064516,0.2627118644067797,0.0,0.36727755245651067
ZauberNerd/react-native-mock,https://github.com/ZauberNerd/react-native-mock,2016-05-23T23:29:14+09,2016-10-28 16:59:53+09:00,115,1740,848,21,5,16,0,1477641593,0.08555796028693949,0.8507462686567164,0.12204531107526127,0.15468807004742793,0.9130434782608695,0.16129032258064516,0.13559322033898305,0.0,0.30287057890585534
heronsystems/react-native-mock,https://github.com/heronsystems/react-native-mock,2018-08-22T05:21:02+09,2018-08-28 00:29:05+09:00,7,13710,305,0,0,117,0,1535383745,0.35810227846440773,0.04477611940298507,0.9616328820930069,0.0556366289675301,0.0,0.0,0.9915254237288136,0.0,0.30145916658209293
mroswald/react-native-mock,https://github.com/mroswald/react-native-mock,2016-03-29T17:28:18+09,2016-07-21 08:12:38+09:00,102,1748,801,21,5,16,0,1469056358,0.04503544876938578,0.753731343283582,0.12260643894227397,0.14611455673112003,0.9130434782608695,0.16129032258064516,0.13559322033898305,0.0,0.2846768511133574
varmais/react-native-mock,https://github.com/varmais/react-native-mock,2016-06-13T16:33:31+09,2017-11-13 01:40:02+09:00,108,2524,1169,9,7,26,0,1510504802,0.24067308121330602,0.7985074626865671,0.17703584204250544,0.2132433418460416,0.391304347826087,0.22580645161290322,0.22033898305084745,0.0,0.28336368878478224
angeloocana/react-native-mock,https://github.com/angeloocana/react-native-mock,2017-11-19T03:15:01+09,2017-11-19 03:42:39+09:00,4,14116,1,0,0,115,0,1511030559,0.24315466664316723,0.022388059701492536,0.9901101213439012,0.00018241517694272163,0.0,0.0,0.9745762711864406,0.0,0.2788014417564931
blitzpick/react-native-mock,https://github.com/blitzpick/react-native-mock,2017-06-23T05:53:30+09,2017-06-27 07:55:25+09:00,9,13660,137,0,0,116,0,1498517725,0.18409379528877362,0.05970149253731343,0.9581258329241776,0.024990879241152866,0.0,0.0,0.9830508474576272,0.0,0.2762453559311306
lucasbento/react-native-mock,https://github.com/lucasbento/react-native-mock,2017-08-07T16:49:34+09,2017-08-07 17:03:34+09:00,2,14257,2,0,0,118,0,1502093014,0.200969243623162,0.007462686567164179,1.0,0.00036483035388544326,0.0,0.0,1.0,0.0,0.27609959506802645
zeppelin-no/react-native-mock,https://github.com/zeppelin-no/react-native-mock,2017-09-20T20:47:31+09,2017-10-06 00:49:06+09:00,6,13138,17,0,0,116,0,1507218546,0.2251618754501988,0.03731343283582089,0.9215122396015992,0.003101058008026268,0.0,0.0,0.9830508474576272,0.0,0.27126743166915906
qare/react-native-mock,https://github.com/qare/react-native-mock,2017-09-11T13:58:10+09,2018-01-03 19:21:04+09:00,14,11625,95,0,0,115,0,1514974864,0.2617718791936967,0.09701492537313433,0.8153889317528231,0.017329441809558557,0.0,0.0,0.9745762711864406,0.0,0.27076018116445666
p16/react-native-mock,https://github.com/p16/react-native-mock,2016-04-20T22:39:23+09,2016-06-16 22:05:06+09:00,80,1039,799,21,5,6,0,1466082306,0.030997853243601846,0.5895522388059702,0.07287648172827384,0.14574972637723457,0.9130434782608695,0.16129032258064516,0.05084745762711865,0.0,0.24554469482796426
esauter5/react-native-mock,https://github.com/esauter5/react-native-mock,2017-09-02T01:18:36+09,2017-09-02 02:21:19+09:00,12,8535,109,0,0,115,0,1504286479,0.21132245011382314,0.08208955223880597,0.5986532931191695,0.01988325428675666,0.0,0.0,0.9745762711864406,0.0,0.23581560261812448
sibelius/react-native-mock,https://github.com/sibelius/react-native-mock,2016-05-12T06:43:39+09,2016-06-30 17:01:09+09:00,70,856,827,21,5,3,0,1467273669,0.03662111467897168,0.5149253731343284,0.06004068177035842,0.15085735133163078,0.9130434782608695,0.16129032258064516,0.025423728813559324,0.0,0.23277525632129542
RostikMoroziuk/react-native-mock,https://github.com/RostikMoroziuk/react-native-mock,2017-10-19T18:32:21+09,2017-10-19 18:57:22+09:00,1,8403,5,0,0,114,0,1508407042,0.2307716045780056,0.0,0.58939468331346,0.0009120758847136082,0.0,0.0,0.9661016949152542,0.0,0.2233975073364292
hoangnguyen8895/react-native-mock,https://github.com/hoangnguyen8895/react-native-mock,2022-12-18T23:56:17+09,2022-12-19 00:45:46+09:00,1,7549,328,0,0,2,0,1671378346,1.0,0.0,0.5294942835098548,0.0598321780372127,0.0,0.0,0.01694915254237288,0.0,0.20078445176118004
raburski/react-native-mock,https://github.com/raburski/react-native-mock,2016-11-26T00:50:03+09,2016-12-07 23:56:21+09:00,6,8012,28,0,0,105,0,1481122581,0.10198830567905352,0.03731343283582089,0.5619695588132145,0.005107624954396206,0.0,0.0,0.8898305084745762,0.0,0.1995261788446327
apprennet/react-native-mock,https://github.com/apprennet/react-native-mock,2016-05-07T04:24:09+09,2016-06-07 15:07:35+09:00,54,377,93,21,5,6,0,1465279655,0.02720932160852418,0.39552238805970147,0.026443150732973278,0.01696461145567311,0.9130434782608695,0.16129032258064516,0.05084745762711865,0.0,0.19891509129068818
gswirski/react-native-mock,https://github.com/gswirski/react-native-mock,2016-05-19T17:41:17+09,2016-05-23 16:24:57+09:00,5,7839,71,0,0,109,0,1463988297,0.02111408141669657,0.029850746268656716,0.549835168689065,0.012951477562933236,0.0,0.0,0.923728813559322,0.0,0.1921850359370842
viceversus/react-native-mock,https://github.com/viceversus/react-native-mock,2016-09-29T05:17:39+09,2016-09-29 08:03:50+09:00,3,7953,1,0,0,103,0,1475103830,0.0735796591226357,0.014925373134328358,0.5578312407939959,0.00018241517694272163,0.0,0.0,0.8728813559322034,0.0,0.18992500552001326
nilswloka/react-native-mock,https://github.com/nilswloka/react-native-mock,2016-06-25T23:00:48+09,2016-06-25 23:07:07+09:00,1,7037,3,0,0,91,0,1466863627,0.03468570677602194,0.0,0.4935821000210423,0.0005472455308281649,0.0,0.0,0.7711864406779662,0.0,0.16250018662573232
m-vdb/react-native-mock,https://github.com/m-vdb/react-native-mock,2016-09-14T11:18:34+09,2017-02-04 04:36:10+09:00,54,430,72,9,7,11,0,1486150570,0.12572053224741575,0.39552238805970147,0.030160622851932384,0.013133892739875957,0.391304347826087,0.22580645161290322,0.09322033898305085,0.0,0.15935857179012083
madebymany/react-native-mock,https://github.com/madebymany/react-native-mock,2018-11-02T23:13:56+09,2018-11-02 23:49:52+09:00,3,10514,132,0,0,1,0,1541170192,0.3854144446664062,0.014925373134328358,0.7374622992214351,0.024078803356439256,0.0,0.0,0.00847457627118644,0.0,0.14629443708122442
dingbat/react-native-mock,https://github.com/dingbat/react-native-mock,2016-10-26T23:41:43+09,2016-11-29 02:28:08+09:00,31,70,45,9,7,1,0,1480354088,0.09836100060893496,0.22388059701492538,0.004909868836361086,0.008208682962422473,0.391304347826087,0.22580645161290322,0.00847457627118644,0.0,0.12011819064160256
gabrielrotbart/react-native-mock,https://github.com/gabrielrotbart/react-native-mock,2018-02-18T13:13:40+09,2018-02-20 14:37:37+09:00,8,8156,129,0,0,1,0,1519105057,0.2812664874848174,0.05223880597014925,0.5720698604194431,0.02353155782561109,0.0,0.0,0.00847457627118644,0.0,0.11719766099640092
jessestuart/react-native-mock,https://github.com/jessestuart/react-native-mock,2018-07-19T19:28:36+09,2018-07-19 20:19:47+09:00,1,5577,99,0,0,1,0,1531999187,0.34212708494473953,0.0,0.3911762642912254,0.01805910251732944,0.0,0.0,0.00847457627118644,0.0,0.0949796285030601
abdulsemiu-atanda/react-native-mock,https://github.com/abdulsemiu-atanda/react-native-mock,2018-07-14T18:33:53+09,2019-07-01 04:42:55+09:00,1,2,0,2,0,0,0,1561923775,0.48337184550028045,0.0,0.00014028196675317387,0.0,0.08695652173913043,0.0,0.0,0.0,0.0713085811507705
