nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
cfv7/react-hot-cold,https://github.com/cfv7/react-hot-cold,2017-04-08T00:12:34+09,2017-04-12 06:03:40+09:00,7,767,389,0,0,11,0,1491944620,0.0,0.125,0.06451068141518196,0.041985968699406365,,,0.2894736842105263,0.0,
amyhagelin/react-hot-cold,https://github.com/amyhagelin/react-hot-cold,2017-04-28T14:05:38+09,2017-05-05 14:02:20+09:00,1,112,24,0,0,4,0,1493960540,0.032178942451998635,0.0,0.009203749050071772,0.002590393955747437,,,0.10526315789473684,0.0,
teemak/react-hot-cold,https://github.com/teemak/react-hot-cold,2017-05-19T23:48:49+09,2017-05-23 07:39:33+09:00,4,696,206,0,0,38,0,1495492773,0.056637074486034326,0.0625,0.05851557882293338,0.022234214786832164,,,1.0,0.0,
camillecondrey/react-hot-cold,https://github.com/camillecondrey/react-hot-cold,2017-05-23T08:50:57+09,2017-05-23 10:07:42+09:00,3,23,0,0,0,2,0,1495501662,0.056778964352425756,0.041666666666666664,0.001688761293591151,0.0,,,0.05263157894736842,0.0,
scylol/react-hot-cold,https://github.com/scylol/react-hot-cold,2017-05-24T01:43:06+09,2017-05-24 05:57:54+09:00,2,91,105,0,0,0,0,1495573074,0.05791887200668889,0.020833333333333332,0.007430549691801064,0.011332973556395036,,,0.0,0.0,
martinseanhunt/react-hot-cold,https://github.com/martinseanhunt/react-hot-cold,2017-06-14T02:50:03+09,2017-06-14 23:39:18+09:00,3,202,1,0,0,11,0,1497451158,0.08789761965343053,0.041666666666666664,0.016803174871231952,0.00010793308148947653,,,0.2894736842105263,0.0,
leovolving/react-hot-cold,https://github.com/leovolving/react-hot-cold,2017-06-17T07:28:00+09,2017-06-17 12:09:46+09:00,1,230,1,0,0,8,0,1497668986,0.09137467959451646,0.0,0.019167440682259562,0.00010793308148947653,,,0.21052631578947367,0.0,
Kendallyn/react-hot-cold-1,https://github.com/Kendallyn/react-hot-cold-1,2017-06-20T03:15:39+09,2017-06-23 06:05:09+09:00,7,93,1,0,0,3,0,1498165509,0.09930038351287321,0.125,0.007599425821160179,0.00010793308148947653,,,0.07894736842105263,0.0,
kyolf/react-hot-cold-Jamie-Kyle,https://github.com/kyolf/react-hot-cold-Jamie-Kyle,2017-06-23T23:03:51+09,2017-06-24 05:11:51+09:00,11,337,2,0,0,8,0,1498248711,0.10062848798621103,0.20833333333333334,0.02820231360297222,0.00021586616297895306,,,0.21052631578947367,0.0,
thinkful-c11/kyler-sonja-react-HC-test,https://github.com/thinkful-c11/kyler-sonja-react-HC-test,2017-06-24T00:27:28+09,2017-06-24 07:15:13+09:00,4,6345,100,0,0,9,0,1498256113,0.10074664174827981,0.0625,0.5355062061977539,0.010793308148947653,,,0.23684210526315788,0.0,
