nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
maxwen/wallpaperboard,https://github.com/maxwen/wallpaperboard,2017-04-16T09:15:36+09,2017-05-07 22:41:04+09:00,26,14544,11344,0,0,62,32,1494164464,0.009581604456448317,0.7575757575757576,1.0,1.0,0.0,0.0,1.0,1.0,0.5958946702540258
xorRisont/Wallboard,https://github.com/xorRisont/Wallboard,2017-11-26T23:34:48+09,2018-04-07 03:19:58+09:00,34,484,380,1,80,3,16,1523038798,0.25981219455564714,1.0,0.033278327832783276,0.03349788434414669,0.125,0.8333333333333334,0.04838709677419355,0.5,0.354163604605013
ishubhamsingh/wallpaperboard,https://github.com/ishubhamsingh/wallpaperboard,2017-04-28T05:04:24+09,2017-05-11 21:10:40+09:00,28,1381,692,8,2,10,8,1494504640,0.012529635784810214,0.8181818181818182,0.09495324532453245,0.061001410437235545,1.0,0.020833333333333332,0.16129032258064516,0.25,0.3023487207052969
Sanrel/redwersysandwers77,https://github.com/Sanrel/redwersysandwers77,2018-02-04T01:42:44+09,2019-03-10 20:30:48+09:00,8,120,99,0,96,1,1,1552217448,0.5126800462539057,0.21212121212121213,0.00825082508250825,0.008727080394922426,0.0,1.0,0.016129032258064516,0.03125,0.22364477451382664
samymarboy/wallpaperboard,https://github.com/samymarboy/wallpaperboard,2020-12-18T19:03:02+09,2020-12-20 16:35:38+09:00,1,669,8,0,0,35,0,1608449738,1.0,0.0,0.0459983498349835,0.0007052186177715092,0.0,0.0,0.5645161290322581,0.0,0.20140246218562663
rajkale99/wallpaperboard,https://github.com/rajkale99/wallpaperboard,2019-07-16T21:54:34+09,2019-07-19 06:56:02+09:00,24,32,101,0,0,0,0,1563486962,0.610343844780001,0.696969696969697,0.0022002200220022,0.008903385049365303,0.0,0.0,0.0,0.0,0.16480214335263318
Nithis111/wallpaperboard,https://github.com/Nithis111/wallpaperboard,2018-01-31T00:05:57+09,2018-01-31 17:08:11+09:00,4,13923,0,0,0,3,0,1517386091,0.21082473710406152,0.09090909090909091,0.9573019801980198,0.0,0.0,0.0,0.04838709677419355,0.0,0.1634278631231707
Th3CracKed/wallpaperboard,https://github.com/Th3CracKed/wallpaperboard,2017-06-19T11:22:44+09,2017-06-26 06:56:28+09:00,11,143,73,0,0,4,0,1498427788,0.04652839880689383,0.30303030303030304,0.009832233223322332,0.0064351198871650216,0.0,0.0,0.06451612903225806,0.0,0.053792772997492785
mesutbeyaztas/wallpaperboard,https://github.com/mesutbeyaztas/wallpaperboard,2017-12-19T15:33:10+09,2017-12-19 18:06:59+09:00,1,65,0,0,0,0,0,1513674419,0.178658666197814,0.0,0.004469196919691969,0.0,0.0,0.0,0.0,0.0,0.022890982889688247
MotionWallpapersUK/wallpaperboard,https://github.com/MotionWallpapersUK/wallpaperboard,2017-09-14T00:28:19+09,2017-09-14 12:37:34+09:00,2,0,0,0,0,0,0,1505360254,0.10660649647046704,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.017113690846687166
daveyannihilation/wallpaperboard,https://github.com/daveyannihilation/wallpaperboard,2017-04-29T07:46:56+09,2017-04-29 10:07:09+09:00,1,118,112,0,0,0,0,1493428029,0.003199515622132573,0.0,0.008113311331133114,0.009873060648801129,0.0,0.0,0.0,0.0,0.0026482359502583517
karan9/wallpaperboard,https://github.com/karan9/wallpaperboard,2017-05-04T04:14:54+09,2017-05-04 04:16:15+09:00,1,12,0,0,0,0,0,1493838975,0.006760853524468445,0.0,0.0008250825082508251,0.0,0.0,0.0,0.0,0.0,0.0009482420040899087
steel89ita/wallpaperboard,https://github.com/steel89ita/wallpaperboard,2017-04-25T03:19:30+09,2017-04-25 03:33:54+09:00,1,2,2,0,0,0,0,1493058834,0.0,0.0,0.0001375137513751375,0.0001763046544428773,0.0,0.0,0.0,0.0,3.922730072725185e-05
