nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
vikkio88/laravel-api-boilerplate-jwt,https://github.com/vikkio88/laravel-api-boilerplate-jwt,2015-09-17T22:38:56+09,2015-11-01 18:38:53+09:00,3,283,46,0,0,10,1,1446370733,0.0,0.06451612903225806,0.05232881796251624,0.02612152186257808,,,0.7692307692307693,0.07692307692307693,
berkaybeyaz1/laravel-api-boilerplate-jwt,https://github.com/berkaybeyaz1/laravel-api-boilerplate-jwt,2016-06-26T22:34:48+09,2016-06-26 22:36:51+09:00,1,2,2,0,0,0,0,1466948211,0.10308956358217136,0.0,0.00018556318426424197,0.001135718341851221,,,0.0,0.0,
agusnurwanto/laravel-api-boilerplate-jwt,https://github.com/agusnurwanto/laravel-api-boilerplate-jwt,2016-11-05T19:34:22+09,2016-12-10 10:08:14+09:00,3,1625,4,0,0,8,0,1481332094,0.17515030013535896,0.06451612903225806,0.30135461124512897,0.002271436683702442,,,0.6153846153846154,0.0,
ken8203/laravel-api-boilerplate-jwt,https://github.com/ken8203/laravel-api-boilerplate-jwt,2016-12-15T16:14:33+09,2016-12-15 16:43:58+09:00,2,254,71,0,0,1,0,1481787838,0.17743349781707646,0.03225806451612903,0.04694748561885322,0.04031800113571834,,,0.07692307692307693,0.0,
niradler/laravel-api-boilerplate-jwt,https://github.com/niradler/laravel-api-boilerplate-jwt,2016-12-29T08:01:34+09,2019-04-19 06:47:20+09:00,32,3006,1242,0,0,13,0,1555624040,0.547339948002325,1.0,0.5576173687140471,0.7052810902896082,,,1.0,0.0,
3kynox/back,https://github.com/3kynox/back,2017-02-05T06:29:03+09,2017-02-26 18:12:22+09:00,6,479,812,0,0,0,0,1488100342,0.20905803812618096,0.16129032258064516,0.08869920207830767,0.4611016467915957,,,0.0,0.0,
yuzrieSiddiq/laravel-api-boilerplate-jwt,https://github.com/yuzrieSiddiq/laravel-api-boilerplate-jwt,2017-03-13T18:52:27+09,2017-03-14 21:15:23+09:00,1,179,0,0,0,3,0,1489493723,0.21603863308508164,0.0,0.03303024679903507,0.0,,,0.23076923076923078,0.0,
juniarta/laravel-api,https://github.com/juniarta/laravel-api,2017-03-20T01:42:40+09,2019-05-29 03:04:51+09:00,27,3489,1392,0,0,13,0,1559066691,0.5645870270251152,0.8387096774193549,0.647244386713676,0.7904599659284497,,,1.0,0.0,
jonathanlaflamme/laravel-api-boilerplate-jwt,https://github.com/jonathanlaflamme/laravel-api-boilerplate-jwt,2017-05-27T01:59:22+09,2017-06-02 14:07:16+09:00,1,1,1,0,0,0,0,1496380036,0.2505378560637301,0.0,0.0,0.0005678591709256105,,,0.0,0.0,
vanushwashere/laravel-api-boilerplate-jwt,https://github.com/vanushwashere/laravel-api-boilerplate-jwt,2017-06-03T22:04:35+09,2017-06-03 23:57:52+09:00,8,7,755,0,0,0,13,1496501872,0.25114823310160606,0.22580645161290322,0.001113379105585452,0.4287336740488359,,,0.0,1.0,
khairulcs/laravel-api-boilerplate-jwt,https://github.com/khairulcs/laravel-api-boilerplate-jwt,2020-01-04T18:01:42+09,2020-01-04 22:41:46+09:00,2,45,49,0,0,1,1,1578145306,0.6601675492884493,0.03225806451612903,0.008164780107626647,0.027825099375354913,,,0.07692307692307693,0.07692307692307693,
jpalala/laravel-api-boilerplate-jwt,https://github.com/jpalala/laravel-api-boilerplate-jwt,2022-02-28T00:33:06+09,2022-02-28 01:15:04+09:00,1,5390,1761,0,0,1,0,1645978504,1.0,0.0,1.0,1.0,,,0.07692307692307693,0.0,
