nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
annejan/felony,https://github.com/annejan/felony,2016-07-04T22:24:51+09,2019-06-25T17:37:54+09,86,574,497,20,6,4,0
sowbug/felony,https://github.com/sowbug/felony,2016-07-05T01:07:53+09,2016-07-05T01:08:38+09,1,1,1,1,1,0,0
maniacs-satm/felony,https://github.com/maniacs-satm/felony,2016-07-05T12:55:41+09,2016-09-03T08:47:37+09,55,241,53,15,4,4,0
brbsix/felony,https://github.com/brbsix/felony,2016-07-06T18:07:37+09,2016-07-08T14:16:11+09,6,30,5,0,0,1,0
H1d3r/felony,https://github.com/H1d3r/felony,2016-07-08T00:34:04+09,2019-03-27T11:13:23+09,69,567,494,19,10,4,0
amilajack/felony,https://github.com/amilajack/felony,2016-07-08T03:40:55+09,2016-07-12T06:03:38+09,7,42,17,0,0,0,0
greg-js/felony,https://github.com/greg-js/felony,2016-07-09T23:15:24+09,2016-07-13T00:28:20+09,7,56,24,0,0,0,0
adam-keim/felony,https://github.com/adam-keim/felony,2016-07-12T02:35:49+09,2016-07-13T01:07:21+09,7,17,9,0,0,0,0
genecyber/nuGpg,https://github.com/genecyber/nuGpg,2016-10-25T13:28:46+09,2016-10-25T13:37:19+09,1,8,7,8,7,0,0
lololosys/felony,https://github.com/lololosys/felony,2017-10-05T23:28:35+09,2017-10-05T23:32:37+09,1,2,2,0,0,0,0
absalomedia/felony,https://github.com/absalomedia/felony,2019-11-01T12:07:51+09,2022-04-10T21:54:18+09,78,160,93,0,0,2,0
