nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
bollwarm/Mojo-Webqq,https://github.com/bollwarm/Mojo-Webqq,2016-02-25T11:52:13+09,2018-05-02 12:28:32+09:00,500,9936,3733,156,77,38,11,1525231712,0.7411127927047412,1.0,1.0,0.8995180722891566,0.7761194029850746,0.27598566308243727,0.7307692307692307,0.7857142857142857,0.7761524309431157
btbxbob/Mojo-Webqq,https://github.com/btbxbob/Mojo-Webqq,2016-03-24T18:12:44+09,2017-02-05 16:52:13+09:00,281,9752,3519,114,56,52,12,1486281133,0.4009659938162318,0.561122244488978,0.9814814814814815,0.8479518072289156,0.5671641791044776,0.2007168458781362,1.0,0.8571428571428571,0.6770681761426348
yangchuansheng/Mojo-Webqq,https://github.com/yangchuansheng/Mojo-Webqq,2016-11-18T20:51:46+09,2019-04-10 15:19:27+09:00,332,8039,4150,47,53,22,14,1554877167,1.0,0.6633266533066132,0.8090780998389694,1.0,0.23383084577114427,0.18996415770609318,0.4230769230769231,1.0,0.6649095849624679
shalk/Mojo-Webqq,https://github.com/shalk/Mojo-Webqq,2015-06-19T10:30:43+09,2016-01-25 15:41:54+09:00,235,7195,1476,201,0,29,1,1453704114,0.11647808594250941,0.46893787575150303,0.7241344605475041,0.35566265060240965,1.0,0.0,0.5576923076923077,0.07142857142857142,0.4117917439956007
HubertZhang/Mojo-Webqq,https://github.com/HubertZhang/Mojo-Webqq,2016-12-29T04:12:55+09,2017-07-18 17:22:17+09:00,167,4330,399,24,33,13,2,1500366137,0.5239672211646584,0.33266533066132264,0.4357890499194847,0.09614457831325302,0.11940298507462686,0.11827956989247312,0.25,0.14285714285714285,0.2523882347353702
zhangzheng1212/Mojo-Webqq,https://github.com/zhangzheng1212/Mojo-Webqq,2018-01-11T12:49:49+09,2018-01-11 12:53:36+09:00,2,0,279,0,279,0,1,1515642816,0.6573750829450267,0.002004008016032064,0.0,0.0672289156626506,0.0,1.0,0.0,0.07142857142857142,0.22475457225653508
lifansama/Mojo-Webqq,https://github.com/lifansama/Mojo-Webqq,2018-10-22T15:39:17+09,2019-04-10 15:19:27+09:00,18,62,38,3,1,1,0,1554877167,1.0,0.03406813627254509,0.006239935587761675,0.009156626506024097,0.014925373134328358,0.0035842293906810036,0.019230769230769232,0.0,0.13590063376526368
anner-wang/Mojo-Webqq,https://github.com/anner-wang/Mojo-Webqq,2019-03-21T16:35:50+09,2019-03-21 16:43:47+09:00,1,2,10,2,10,0,0,1553154227,0.9849539457249925,0.0,0.00020128824476650564,0.0024096385542168677,0.009950248756218905,0.035842293906810034,0.0,0.0,0.1291696768983756
Adam24Eve/Mojo-Webqq,https://github.com/Adam24Eve/Mojo-Webqq,2016-08-14T04:11:59+09,2016-10-10 15:15:13+09:00,31,277,70,22,6,3,0,1476080113,0.31188274043512904,0.06012024048096192,0.02787842190016103,0.016867469879518072,0.10945273631840796,0.021505376344086023,0.057692307692307696,0.0,0.07567491163132146
0312birdzhang/Mojo-Webqq,https://github.com/0312birdzhang/Mojo-Webqq,2016-02-18T18:43:07+09,2016-02-18 18:44:51+09:00,1,18,0,18,0,0,0,1455788691,0.13468223622193431,0.0,0.0018115942028985507,0.0,0.08955223880597014,0.0,0.0,0.0,0.028255758653850375
hyvinlam/Mojo-Webqq,https://github.com/hyvinlam/Mojo-Webqq,2016-03-21T15:21:23+09,2016-03-21 16:51:00+09:00,3,88,0,0,0,1,0,1458546660,0.15876697002739953,0.004008016032064128,0.008856682769726247,0.0,0.0,0.0,0.019230769230769232,0.0,0.023857804757494893
neilb/Mojo-Webqq,https://github.com/neilb/Mojo-Webqq,2015-08-24T06:39:11+09,2015-08-24 06:41:22+09:00,1,1,0,0,0,0,0,1440366082,0.0,0.0,0.00010064412238325282,0.0,0.0,0.0,0.0,0.0,1.2580515297906602e-05
