nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
csakai/demo-shop-react-redux,https://github.com/csakai/demo-shop-react-redux,2018-07-28T13:16:41+09,2018-07-31 04:16:55+09:00,59,2461,292,132,35,46,10,1532978215,1.0,1.0,0.04893282676585841,0.0558530986993114,1.0,0.603448275862069,0.11855670103092783,0.625,0.5564738627947708
mscaruf/Blobby,https://github.com/mscaruf/Blobby,2018-05-15T04:59:05+09,2018-06-17 04:17:39+09:00,52,9785,541,20,50,35,16,1529176659,0.9419170291292159,0.8793103448275862,0.19461738905575557,0.10348125478194338,0.15151515151515152,0.8620689655172413,0.09020618556701031,1.0,0.527889540049238
liesislukas/webpack-react-redux,https://github.com/liesislukas/webpack-react-redux,2017-10-21T23:59:38+09,2017-10-22 01:03:59+09:00,6,362,5228,0,58,7,9,1508601839,0.6275597841664624,0.08620689655172414,0.007180792870924751,1.0,0.0,1.0,0.01804123711340206,0.5625,0.4126860888378141
DaHarris/ss-app,https://github.com/DaHarris/ss-app,2017-06-02T12:26:10+09,2017-06-03 04:12:58+09:00,15,717,300,33,47,10,8,1496430778,0.4416013551627766,0.2413793103448276,0.014242237383883994,0.057383320581484314,0.25,0.8103448275862069,0.02577319587628866,0.5,0.2925905308669335
imdavidsteiner/ci,https://github.com/imdavidsteiner/ci,2016-12-01T13:34:41+09,2016-12-01 15:55:10+09:00,4,50274,16,0,0,388,0,1480575310,0.19934984394298955,0.05172413793103448,1.0,0.00306044376434583,0.0,0.0,1.0,0.0,0.28176680320479625
fiberthrone/fiberthrone.github.io,https://github.com/fiberthrone/fiberthrone.github.io,2017-09-20T07:14:31+09,2018-06-28 07:01:54+09:00,11,385,193,4,37,9,6,1530136914,0.9565885118572159,0.1724137931034483,0.0076382949097925324,0.036916602907421575,0.030303030303030304,0.6379310344827587,0.023195876288659795,0.375,0.2799983929815409
phasnox/webpack-react-redux,https://github.com/phasnox/webpack-react-redux,2017-02-13T09:17:07+09,2017-03-02 11:04:30+09:00,10,5744,448,36,0,48,12,1488420270,0.3192109174514335,0.15517241379310345,0.11423626996598572,0.08569242540168324,0.2727272727272727,0.0,0.12371134020618557,0.75,0.22759382994320804
jampow/webpack-react-redux,https://github.com/jampow/webpack-react-redux,2017-12-18T22:39:40+09,2017-12-30 05:04:20+09:00,22,10894,205,0,0,18,6,1514577860,0.7188658319180131,0.3620689655172414,0.21667694388638037,0.03921193573068095,0.0,0.0,0.04639175257731959,0.375,0.2197769287037044
sed10/webpack-react-redux,https://github.com/sed10/webpack-react-redux,2017-09-13T22:45:36+09,2017-09-13 22:49:32+09:00,1,319,298,0,0,18,16,1505310572,0.5772733842583793,0.0,0.0063254629721719415,0.057000765110941085,0.0,0.0,0.04639175257731959,1.0,0.2108739206148515
vietanh-it/webpack-react-redux,https://github.com/vietanh-it/webpack-react-redux,2018-06-09T02:50:04+09,2018-06-09 03:16:19+09:00,1,9354,238,0,0,7,5,1528481779,0.9313001409921767,0.0,0.18604419867523322,0.045524100994644226,0.0,0.0,0.01804123711340206,0.3125,0.18667620972193205
adrienlina/webpack-react-redux,https://github.com/adrienlina/webpack-react-redux,2017-03-18T02:58:44+09,2017-03-18 03:22:14+09:00,1,5,83,0,58,0,2,1489774934,0.33990847120355494,0.0,7.956557197700556e-05,0.015876052027543993,0.0,1.0,0.0,0.125,0.1851080111003845
jolizbish/webpack-react-redux,https://github.com/jolizbish/webpack-react-redux,2018-06-28T09:45:10+09,2018-07-07 00:07:22+09:00,1,8199,65,0,0,14,2,1530889642,0.9680892443198242,0.0,0.1630696397668729,0.012433052792654935,0.0,0.0,0.03608247422680412,0.125,0.16308430138826951
hiperlouro/webpack-react-redux,https://github.com/hiperlouro/webpack-react-redux,2018-05-16T23:44:41+09,2018-05-17 01:22:13+09:00,2,8270,2,0,0,1,0,1526487733,0.900833638398764,0.017241379310344827,0.16448192866946473,0.00038255547054322876,0.0,0.0,0.002577319587628866,0.0,0.1356896026795932
