nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
chinanf-boy/react-from-zero,https://github.com/chinanf-boy/react-from-zero,2018-06-28T15:37:34+09,2019-03-29 13:51:46+09:00,26,1722,882,106,38,13,11,1553835106,1.0,0.43103448275862066,1.0,1.0,1.0,0.8260869565217391,1.0,1.0,0.9071401799100449
sejas/react-desde-cero,https://github.com/sejas/react-desde-cero,2018-07-13T22:56:46+09,2019-02-06 18:56:46+09:00,59,342,277,69,45,0,0,1549447006,0.9225742248445852,1.0,0.19814061592097618,0.3132803632236095,0.6509433962264151,0.9782608695652174,0.0,0.0,0.5078999337226004
reactspain/react-from-zero,https://github.com/reactspain/react-from-zero,2018-07-05T01:14:35+09,2018-10-11 23:16:30+09:00,46,429,263,74,40,1,0,1539267390,0.7429601186062443,0.7758620689655172,0.24869262056943636,0.2973893303064699,0.6981132075471698,0.8695652173913043,0.07692307692307693,0.0,0.4636882050386524
andre-motta/react-from-zero,https://github.com/andre-motta/react-from-zero,2018-07-03T21:04:23+09,2018-08-04 19:21:52+09:00,34,456,342,60,40,1,0,1533378112,0.6390468271462203,0.5689655172413793,0.2643811737361999,0.3870601589103292,0.5660377358490566,0.8695652173913043,0.07692307692307693,0.0,0.42149746339969585
vyspiansky/react-from-zero,https://github.com/vyspiansky/react-from-zero,2018-07-17T23:37:22+09,2018-07-19 23:51:51+09:00,24,286,280,50,46,0,0,1532011911,0.6149409108172618,0.39655172413793105,0.16560139453805928,0.3166855845629966,0.4716981132075472,1.0,0.0,0.0,0.37068471590797447
lex111/react-from-zero,https://github.com/lex111/react-from-zero,2018-07-07T14:17:56+09,2018-07-08 13:47:26+09:00,21,411,403,45,41,0,0,1531025246,0.5975317126577583,0.3448275862068966,0.23823358512492737,0.45629965947786605,0.42452830188679247,0.8913043478260869,0.0,0.0,0.3690906491475409
raupulus/react-from-zero,https://github.com/raupulus/react-from-zero,2018-07-10T19:44:38+09,2019-01-24 02:51:42+09:00,12,665,581,23,20,1,0,1548265902,0.9017342501997135,0.1896551724137931,0.38582219639744336,0.6583427922814983,0.2169811320754717,0.43478260869565216,0.07692307692307693,0.0,0.3580301536233311
newlinedotco/react-from-zero,https://github.com/newlinedotco/react-from-zero,2018-07-18T01:32:04+09,2019-01-24 02:51:42+09:00,11,663,581,21,20,1,0,1548265902,0.9017342501997135,0.1724137931034483,0.38466008134805346,0.6583427922814983,0.19811320754716982,0.43478260869565216,0.07692307692307693,0.0,0.3533712262623266
Josheriff/react-from-zero,https://github.com/Josheriff/react-from-zero,2018-07-10T19:37:36+09,2018-07-10 19:40:05+09:00,1,36,44,36,44,0,0,1531219205,0.6009540197891748,0.0,0.02033701336432307,0.04880817253121453,0.33962264150943394,0.9565217391304348,0.0,0.0,0.24578044829057266
matheuscuba/react-from-zero,https://github.com/matheuscuba/react-from-zero,2018-07-04T01:35:08+09,2018-07-04 01:47:07+09:00,1,41,40,41,40,0,0,1530636427,0.5906712007117786,0.0,0.023242300987797792,0.04426787741203178,0.3867924528301887,0.8695652173913043,0.0,0.0,0.23931738116663764
MyLocalCode/react-from-zero,https://github.com/MyLocalCode/react-from-zero,2018-07-01T13:49:57+09,2018-09-18 00:47:11+09:00,1,2,2,0,0,0,0,1537199231,0.7064685131916805,0.0,0.0005810575246949448,0.0011350737797956867,0.0,0.0,0.0,0.0,0.08852308056202139
ericx2x/react-from-zero,https://github.com/ericx2x/react-from-zero,2018-07-07T22:43:53+09,2018-07-10 21:04:49+09:00,5,6,6,0,0,0,0,1531224289,0.6010437243631112,0.06896551724137931,0.002905287623474724,0.0056753688989784334,0.0,0.0,0.0,0.0,0.08482373726586795
BrianODell/react-from-zero,https://github.com/BrianODell/react-from-zero,2018-07-01T10:42:32+09,2018-07-01 10:44:03+09:00,1,1,1,0,0,0,0,1530409443,0.5866661843840111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07333327304800139
durkode/react-from-zero,https://github.com/durkode/react-from-zero,2017-06-11T14:46:41+09,2017-06-11 14:49:41+09:00,1,2,2,0,0,0,0,1497160181,0.0,0.0,0.0005810575246949448,0.0011350737797956867,0.0,0.0,0.0,0.0,0.00021451641306132895
