nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
er361/mebelSite2,https://github.com/er361/mebelSite2,2016-05-01T07:28:50+09,2016-05-28 20:50:53+09:00,14,180998,809,73,80,604,12,1464436253,0.04735275923553226,0.35135135135135137,1.0,0.07034170941657247,0.28515625,0.4519774011299435,1.0,0.5714285714285714,0.47220100532024634
OuyeXie/relay-fullstack,https://github.com/OuyeXie/relay-fullstack,2017-08-31T05:06:22+09,2017-10-12 10:43:31+09:00,38,23383,570,256,0,83,0,1507772611,0.45938798670142,1.0,0.12918927280964432,0.049560907747152425,1.0,0.0,0.13741721854304637,0.0,0.34694442322515795
pipemachine/relay-fullstack,https://github.com/pipemachine/relay-fullstack,2016-06-16T15:47:43+09,2016-12-27 09:54:12+09:00,19,1290,384,0,177,7,21,1482800052,0.2219528513360923,0.4864864864864865,0.007127150576249461,0.033388401008607946,0.0,1.0,0.011589403973509934,1.0,0.3450680366726182
stenalpjolly/relay-fullstack,https://github.com/stenalpjolly/relay-fullstack,2019-08-01T12:58:33+09,2019-08-01 13:03:25+09:00,1,0,11501,0,0,0,1,1564632205,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.047619047619047616,0.25595238095238093
Extra-lightwill/sql-demo-fork-rfs,https://github.com/Extra-lightwill/sql-demo-fork-rfs,2017-02-23T07:49:27+09,2017-03-02 20:40:05+09:00,8,3230,602,2,174,24,7,1488454805,0.27571734715778573,0.1891891891891892,0.01784550105526028,0.05234327449786975,0.0078125,0.9830508474576272,0.039735099337748346,0.3333333333333333,0.2373783865036017
pabloasc/crud-relay-fullstack,https://github.com/pabloasc/crud-relay-fullstack,2017-03-17T11:18:13+09,2017-05-20 01:26:11+09:00,4,537,394,4,60,6,14,1495211171,0.33995580489003885,0.08108108108108109,0.002966883611973613,0.03425789061820711,0.015625,0.3389830508474576,0.009933774834437087,0.6666666666666666,0.18618376906873274
narongdejsrn/relay-fullstack,https://github.com/narongdejsrn/relay-fullstack,2016-07-24T01:42:21+09,2016-08-01 14:09:50+09:00,5,467,58,0,0,6,19,1470028190,0.1005200104791627,0.10810810810810811,0.0025801390070608514,0.005043039735675159,0.0,0.0,0.009933774834437087,0.9047619047619048,0.14136837211579356
AndrewBresee/relay-fullstack,https://github.com/AndrewBresee/relay-fullstack,2016-07-19T06:35:11+09,2016-08-02 06:26:04+09:00,30,406,375,0,0,3,0,1470086764,0.10107692279315057,0.7837837837837838,0.0022431187084940166,0.0326058603599687,0.0,0.0,0.004966887417218543,0.0,0.11558457163282695
caioflores/relay-fullstack,https://github.com/caioflores/relay-fullstack,2017-10-03T09:29:30+09,2017-10-03 10:25:29+09:00,3,164,25,0,0,2,0,1506993929,0.45198440158719344,0.05405405405405406,0.0009060873600813268,0.002173724023997913,0.0,0.0,0.0033112582781456954,0.0,0.06405369066293405
claym/relay-fullstack,https://github.com/claym/relay-fullstack,2017-07-06T07:08:46+09,2017-07-06 08:57:12+09:00,1,2,1,0,0,0,0,1499299032,0.3788225397684966,0.0,1.1049845854650328e-05,8.694896095991653e-05,0.0,0.0,0.0,0.0,0.047365067321913895
DaveyEdwards/relay-fullstack-graffiti-mongoose,https://github.com/DaveyEdwards/relay-fullstack-graffiti-mongoose,2016-12-12T07:43:21+09,2016-12-20 04:21:28+09:00,2,2366,532,0,0,7,1,1482175288,0.21601269418554223,0.02702702702702703,0.013071967646051338,0.04625684723067559,0.0,0.0,0.011589403973509934,0.047619047619047616,0.04519712346023172
BlakeBrown/relay-fullstack,https://github.com/BlakeBrown/relay-fullstack,2017-03-24T19:26:07+09,2017-03-24 19:27:15+09:00,1,1,1,0,0,0,0,1490351235,0.2937483032068181,0.0,5.524922927325164e-06,8.694896095991653e-05,0.0,0.0,0.0,0.0,0.036730097136338166
crucialfelix/relay-fullstack,https://github.com/crucialfelix/relay-fullstack,2016-10-30T19:52:33+09,2016-11-01 17:46:10+09:00,1,158,0,0,0,1,0,1477989970,0.17621935358809113,0.0,0.0008729378225173759,0.0,0.0,0.0,0.0016556291390728477,0.0,0.02234349006871017
arnif/relay-fullstack,https://github.com/arnif/relay-fullstack,2016-10-13T08:28:09+09,2016-10-13 08:30:22+09:00,1,4,2,0,0,0,0,1476315022,0.1602942133127239,0.0,2.2099691709300657e-05,0.00017389792191983307,0.0,0.0,0.0,0.0,0.020061276365794127
Rohit-cheddr/relay-fullstack,https://github.com/Rohit-cheddr/relay-fullstack,2016-08-13T04:52:58+09,2016-08-15 15:56:28+09:00,2,3,2,0,0,0,0,1471244188,0.11208152685135218,0.02702702702702703,1.6574768781975493e-05,0.00017389792191983307,0.0,0.0,0.0,0.0,0.017412378321135128
jg123/relay-fullstack,https://github.com/jg123/relay-fullstack,2016-04-07T00:20:06+09,2016-04-07 00:34:45+09:00,1,6,8,0,0,0,0,1459956885,0.004763637815051602,0.0,3.3149537563950985e-05,0.0006955916876793323,0.0,0.0,0.0,0.0,0.0006865473800368606
bogdanbiv/relay-fullstack,https://github.com/bogdanbiv/relay-fullstack,2016-03-31T04:11:58+09,2016-04-01 05:24:23+09:00,1,51,0,0,0,2,0,1459455863,0.0,0.0,0.00028177106929358335,0.0,0.0,0.0,0.0033112582781456954,0.0,0.00044912866842990987
