nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
taikongfeizhu/react-mobx-react-router4-boilerplate,https://github.com/taikongfeizhu/react-mobx-react-router4-boilerplate,2017-12-16T21:09:09+09,2019-11-17 18:56:11+09:00,39,39802,8093,208,18,53,30,1573984571,0.5263524236545891,1.0,1.0,1.0,1.0,0.782608695652174,1.0,1.0,0.9136201399133453
brybrophy/brophy-react-starter,https://github.com/brybrophy/brophy-react-starter,2017-02-05T13:11:42+09,2017-08-16 04:40:42+09:00,32,3583,2366,23,19,44,30,1502826042,0.13990764756459326,0.8157894736842105,0.08997487437185929,0.2923514148029161,0.11057692307692307,0.8260869565217391,0.8301886792452831,1.0,0.5131094961584405
realloser/Environment-Data-Web-page,https://github.com/realloser/Environment-Data-Web-page,2018-09-08T04:34:16+09,2018-09-12 02:34:15+09:00,26,15855,247,3,23,10,2,1536687255,0.3237997130669683,0.6578947368421053,0.3983165829145729,0.03052020264426047,0.014423076923076924,1.0,0.18867924528301888,0.06666666666666667,0.3350375280425837
pretty00butt/react-mobx-react-router4-boilerplate,https://github.com/pretty00butt/react-mobx-react-router4-boilerplate,2018-10-02T11:51:25+09,2018-10-02 12:15:45+09:00,8,3882,2753,21,9,12,12,1538450145,0.3333735426682139,0.18421052631578946,0.09748743718592964,0.3401705177313728,0.10096153846153846,0.391304347826087,0.22641509433962265,0.4,0.2592403755660692
mjyoung/react-mobx-react-router4-boilerplate,https://github.com/mjyoung/react-mobx-react-router4-boilerplate,2017-01-11T04:44:47+09,2017-03-18 01:34:58+09:00,7,2174,2366,3,12,8,15,1489768498,0.06899528135526269,0.15789473684210525,0.05457286432160804,0.2923514148029161,0.014423076923076924,0.5217391304347826,0.1509433962264151,0.5,0.22011498761327083
forky-mcforkface/react-mobx-react-router4-boilerplate,https://github.com/forky-mcforkface/react-mobx-react-router4-boilerplate,2022-08-20T01:56:20+09,2022-08-23 05:31:45+09:00,1,22,0,0,0,1,0,1661200305,1.0,0.0,0.0005025125628140704,0.0,0.0,0.0,0.018867924528301886,0.0,0.12742130463638948
robksawyer/react-mobx-react-router4-boilerplate,https://github.com/robksawyer/react-mobx-react-router4-boilerplate,2017-08-24T06:45:16+09,2017-08-24 06:56:27+09:00,3,7,6,5,4,0,0,1503525387,0.14370562126827477,0.05263157894736842,0.0001256281407035176,0.0007413814407512665,0.02403846153846154,0.17391304347826086,0.0,0.0,0.04939446435172755
shaofeng-wang/react-mobx-react-router4-boilerplate,https://github.com/shaofeng-wang/react-mobx-react-router4-boilerplate,2018-06-22T17:10:51+09,2018-06-22 17:33:59+09:00,1,89,88,0,0,1,0,1529656439,0.28561705031335854,0.0,0.002185929648241206,0.01087359446435191,0.0,0.0,0.018867924528301886,0.0,0.03969306236928169
rkarakulov/mobx-react-stackoverflow,https://github.com/rkarakulov/mobx-react-stackoverflow,2017-07-14T14:48:28+09,2017-07-14 14:56:22+09:00,1,317,71,0,0,7,0,1500011782,0.12462408154878886,0.0,0.007914572864321607,0.008773013715556654,0.0,0.0,0.1320754716981132,0.0,0.03417339247834754
hsrobbv/react-mobx-react-router4-boilerplate,https://github.com/hsrobbv/react-mobx-react-router4-boilerplate,2017-05-27T04:58:05+09,2017-05-27 07:10:39+09:00,1,152,104,0,0,2,1,1495836639,0.10194988880685185,0.0,0.0037688442211055275,0.01285061163968862,0.0,0.0,0.03773584905660377,0.03333333333333333,0.02370481588219789
jaynakus/react-mobx-react-router4-boilerplate,https://github.com/jaynakus/react-mobx-react-router4-boilerplate,2017-05-17T12:51:41+09,2017-08-04 12:56:29+09:00,1,91,78,0,0,1,0,1501818989,0.13443858606817363,0.0,0.002236180904522613,0.009637958729766465,0.0,0.0,0.018867924528301886,0.0,0.020647581278845573
aldarund/react-mobx-react-router4-boilerplate,https://github.com/aldarund/react-mobx-react-router4-boilerplate,2017-07-06T00:20:16+09,2017-07-06 00:30:08+09:00,1,2,2,0,0,0,0,1499268608,0.12058808313704672,0.0,0.0,0.0002471271469170888,0.0,0.0,0.0,0.0,0.015104401285495476
devsli/react-mobx-react-router4-boilerplate,https://github.com/devsli/react-mobx-react-router4-boilerplate,2016-10-21T22:31:16+09,2016-10-22 00:32:39+09:00,2,9,7,0,0,0,0,1477063959,0.0,0.02631578947368421,0.00017587939698492463,0.000864945014209811,0.0,0.0,0.0,0.0,0.003419576735609868
themre/react-mobx-react-router4-boilerplate,https://github.com/themre/react-mobx-react-router4-boilerplate,2016-12-05T17:50:25+09,2016-12-05 17:50:59+09:00,1,3,0,0,0,0,0,1480927859,0.020983907218404346,0.0,2.5125628140703518e-05,0.0,0.0,0.0,0.0,0.0,0.0026261291058181312
