nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
devsli/react-mobx-react-router4-boilerplate,https://github.com/devsli/react-mobx-react-router4-boilerplate,2016-10-21T22:31:16+09,2016-10-22T00:32:39+09,2,9,7,0,0,0,0
themre/react-mobx-react-router4-boilerplate,https://github.com/themre/react-mobx-react-router4-boilerplate,2016-12-05T17:50:25+09,2016-12-05T17:50:59+09,1,3,0,0,0,0,0
mjyoung/react-mobx-react-router4-boilerplate,https://github.com/mjyoung/react-mobx-react-router4-boilerplate,2017-01-11T04:44:47+09,2017-03-18T01:34:58+09,7,2174,2366,3,12,8,15
brybrophy/brophy-react-starter,https://github.com/brybrophy/brophy-react-starter,2017-02-05T13:11:42+09,2017-08-16T04:40:42+09,32,3583,2366,23,19,44,30
jaynakus/react-mobx-react-router4-boilerplate,https://github.com/jaynakus/react-mobx-react-router4-boilerplate,2017-05-17T12:51:41+09,2017-08-04T12:56:29+09,1,91,78,0,0,1,0
hsrobbv/react-mobx-react-router4-boilerplate,https://github.com/hsrobbv/react-mobx-react-router4-boilerplate,2017-05-27T04:58:05+09,2017-05-27T07:10:39+09,1,152,104,0,0,2,1
aldarund/react-mobx-react-router4-boilerplate,https://github.com/aldarund/react-mobx-react-router4-boilerplate,2017-07-06T00:20:16+09,2017-07-06T00:30:08+09,1,2,2,0,0,0,0
rkarakulov/mobx-react-stackoverflow,https://github.com/rkarakulov/mobx-react-stackoverflow,2017-07-14T14:48:28+09,2017-07-14T14:56:22+09,1,317,71,0,0,7,0
robksawyer/react-mobx-react-router4-boilerplate,https://github.com/robksawyer/react-mobx-react-router4-boilerplate,2017-08-24T06:45:16+09,2017-08-24T06:56:27+09,3,7,6,5,4,0,0
taikongfeizhu/react-mobx-react-router4-boilerplate,https://github.com/taikongfeizhu/react-mobx-react-router4-boilerplate,2017-12-16T21:09:09+09,2019-11-17T18:56:11+09,39,39802,8093,208,18,53,30
shaofeng-wang/react-mobx-react-router4-boilerplate,https://github.com/shaofeng-wang/react-mobx-react-router4-boilerplate,2018-06-22T17:10:51+09,2018-06-22T17:33:59+09,1,89,88,0,0,1,0
realloser/Environment-Data-Web-page,https://github.com/realloser/Environment-Data-Web-page,2018-09-08T04:34:16+09,2018-09-12T02:34:15+09,26,15855,247,3,23,10,2
pretty00butt/react-mobx-react-router4-boilerplate,https://github.com/pretty00butt/react-mobx-react-router4-boilerplate,2018-10-02T11:51:25+09,2018-10-02T12:15:45+09,8,3882,2753,21,9,12,12
forky-mcforkface/react-mobx-react-router4-boilerplate,https://github.com/forky-mcforkface/react-mobx-react-router4-boilerplate,2022-08-20T01:56:20+09,2022-08-23T05:31:45+09,1,22,0,0,0,1,0
