nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
kodell/ohm,https://github.com/kodell/ohm,2017-01-30T05:43:02+09,2017-02-23 09:51:27+09:00,31,664,608,3,167,22,16,1487811087,0.26766188612772623,0.9375,0.053064812594901305,0.8575458392101551,0.045454545454545456,1.0,0.9166666666666666,0.3902439024390244,0.5585172065616274
amilajack/redux-webpack-es6-boilerplate,https://github.com/amilajack/redux-webpack-es6-boilerplate,2016-08-30T02:19:02+09,2017-01-10 23:02:11+09:00,33,712,319,66,14,24,9,1484056931,0.23011680026871323,1.0,0.056900823143930315,0.44992947813822287,1.0,0.08383233532934131,1.0,0.21951219512195122,0.5050364540002699
angelyordanov/redux-webpack-es6-boilerplate,https://github.com/angelyordanov/redux-webpack-es6-boilerplate,2017-03-24T20:28:33+09,2017-03-30 20:20:59+09:00,11,6076,550,0,12,8,13,1490872859,0.2982824817078572,0.3125,0.48557500199792214,0.7757404795486601,0.0,0.0718562874251497,0.3333333333333333,0.3170731707317073,0.3242950943430787
atshakil/react-redux-scaffold,https://github.com/atshakil/react-redux-scaffold,2016-09-02T18:15:00+09,2017-03-06 13:49:43+09:00,1,0,709,0,3,0,41,1488775783,0.27730975215882525,0.0,0.0,1.0,0.0,0.017964071856287425,0.0,1.0,0.28690922800188906
derekja/redux-webpack-es6-boilerplate,https://github.com/derekja/redux-webpack-es6-boilerplate,2016-03-07T12:45:26+09,2016-04-19 15:30:12+09:00,27,733,191,0,0,11,0,1461047412,0.0,0.8125,0.0585790777591305,0.2693935119887165,0.0,0.0,0.4583333333333333,0.0,0.19985074038514752
leonorfmartins/redux-webpack-es6-boilerplate,https://github.com/leonorfmartins/redux-webpack-es6-boilerplate,2017-05-27T01:17:50+09,2017-05-30 16:39:38+09:00,5,67,421,0,0,2,18,1496129978,0.3508586091319836,0.125,0.005354431391352993,0.5937940761636107,0.0,0.0,0.08333333333333333,0.43902439024390244,0.1996706050330229
adelaveres/redux-webpack-es6-boilerplate,https://github.com/adelaveres/redux-webpack-es6-boilerplate,2017-08-09T20:50:26+09,2017-08-09 21:02:14+09:00,1,12513,0,0,0,1,0,1502280134,0.4123659452859218,0.0,1.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.18175407649407357
napon/redux-webpack-es6-boilerplate,https://github.com/napon/redux-webpack-es6-boilerplate,2017-01-14T15:35:10+09,2017-01-14 16:48:40+09:00,1,20,401,0,0,2,17,1484380120,0.23334899380400814,0.0,0.0015983377287620874,0.5655853314527504,0.0,0.0,0.08333333333333333,0.4146341463414634,0.16231251783253967
jamesku/redux-webpack-es6-boilerplate,https://github.com/jamesku/redux-webpack-es6-boilerplate,2017-03-08T03:57:59+09,2017-03-12 01:12:02+09:00,1,1048,43,0,0,19,0,1489248722,0.28203958633755294,0.0,0.08375289698713338,0.06064880112834979,0.0,0.0,0.7916666666666666,0.0,0.15226349388996285
manishshanker/redux-webpack-es6-boilerplate,https://github.com/manishshanker/redux-webpack-es6-boilerplate,2016-07-03T08:13:11+09,2019-06-20 22:40:21+09:00,1,8,0,0,0,1,0,1561038021,1.0,0.0,0.000639335091504835,0.0,0.0,0.0,0.041666666666666664,0.0,0.13028825021977145
umanghome/redux-webpack-es6-login,https://github.com/umanghome/redux-webpack-es6-login,2016-12-26T22:52:40+09,2016-12-26 23:15:26+09:00,1,202,6,0,0,7,0,1482761726,0.21716353382746173,0.0,0.016143211060497084,0.00846262341325811,0.0,0.0,0.2916666666666667,0.0,0.06667950437098545
ThembisileNGQ/redux-webpack-es6-boilerplate,https://github.com/ThembisileNGQ/redux-webpack-es6-boilerplate,2017-02-21T15:47:02+09,2017-03-08 03:11:59+09:00,5,62,53,0,0,0,1,1488910319,0.2786552385134488,0.125,0.004954846959162471,0.07475317348377997,0.0,0.0,0.0,0.024390243902439025,0.06346918785735378
teespring-labs/redux-webpack-es6-boilerplate,https://github.com/teespring-labs/redux-webpack-es6-boilerplate,2017-01-04T08:28:51+09,2017-01-04 08:36:45+09:00,1,12,2,0,0,0,0,1483486605,0.22441300462526437,0.0,0.0009590026372572524,0.0028208744710860366,0.0,0.0,0.0,0.0,0.028524110216700958
andrepcg/redux-webpack-es6-boilerplate,https://github.com/andrepcg/redux-webpack-es6-boilerplate,2016-04-27T23:23:44+09,2016-04-29 02:30:15+09:00,6,5,1,0,0,0,0,1461864615,0.00817279750741392,0.15625,0.00039958443219052184,0.0014104372355430183,0.0,0.0,0.0,0.0,0.020779102396893432
jondot/redux-webpack-es6-boilerplate,https://github.com/jondot/redux-webpack-es6-boilerplate,2016-07-02T23:02:57+09,2016-07-02 23:04:47+09:00,2,22,30,0,0,0,0,1467468287,0.0642147804100283,0.03125,0.0017581715016382962,0.04231311706629055,0.0,0.0,0.0,0.0,0.017442008622244643
hubpan/redux-webpack-es6-boilerplate,https://github.com/hubpan/redux-webpack-es6-boilerplate,2016-09-16T16:41:38+09,2016-09-16 17:01:08+09:00,1,1,1,0,0,0,0,1474012868,0.12966673700327197,0.0,7.991688643810437e-05,0.0014104372355430183,0.0,0.0,0.0,0.0,0.016394636390656636
