nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
Hunter1444/react-challenge-sort-and-search,https://github.com/Hunter1444/react-challenge-sort-and-search,2017-08-01T23:20:48+09,2017-10-05 03:27:24+09:00,2,0,12704,0,2138,0,65,1507141644,0.6408119901205317,0.025,0.0,0.6394201731427421,0.0,1.0,0.0,1.0,0.4131540204079092
Ggayane/react-challenge-sort-and-search,https://github.com/Ggayane/react-challenge-sort-and-search,2016-03-21T23:50:47+09,2016-04-05 22:21:25+09:00,18,32420,91,2,18,31,1,1459862485,0.014802863465404542,0.425,0.859946949602122,0.0045802295147976645,0.16666666666666666,0.00841908325537886,0.8611111111111112,0.015384615384615385,0.294488939875012
Vilina/react-challenge-sort-and-search,https://github.com/Vilina/react-challenge-sort-and-search,2016-03-21T23:44:45+09,2016-12-16 06:23:43+09:00,7,32213,48,2,0,31,0,1481837023,0.3057611129983521,0.15,0.8544562334217507,0.0024159452385745924,0.16666666666666666,0.0,0.8611111111111112,0.0,0.29255138367955685
re5pawn/react-challenge-sort-and-search,https://github.com/re5pawn/react-challenge-sort-and-search,2016-03-27T21:53:22+09,2017-07-11 20:52:59+09:00,41,1615,75,1,15,17,1,1499773979,0.5432589534402991,1.0,0.04283819628647215,0.0037749144352728003,0.08333333333333333,0.007015902712815715,0.4722222222222222,0.015384615384615385,0.2709785172268788
artanik/react-challenge-sort-and-search,https://github.com/artanik/react-challenge-sort-and-search,2016-03-24T01:25:11+09,2016-07-07 17:34:38+09:00,20,520,90,12,21,14,2,1467880478,0.12096669762871787,0.475,0.013793103448275862,0.004529897322327361,1.0,0.009822263797942002,0.3888888888888889,0.03076923076923077,0.25547126023192285
skinet2009/react-challenge-sort-and-search,https://github.com/skinet2009/react-challenge-sort-and-search,2016-03-21T05:38:43+09,2016-03-23 23:48:23+09:00,21,25252,66,0,0,29,2,1458744503,0.0,0.5,0.6698143236074271,0.0033219247030400645,0.0,0.0,0.8055555555555556,0.03076923076923077,0.2511826293294067
oneusha/react-challenge-sort-and-search,https://github.com/oneusha/react-challenge-sort-and-search,2016-03-22T04:43:58+09,2017-04-21 20:10:44+09:00,10,21680,50,0,0,23,1,1492773044,0.45056167840798916,0.225,0.5750663129973475,0.0025166096235152004,0.0,0.0,0.6388888888888888,0.015384615384615385,0.23842726316279447
dssorokin/react-challenge-sort-and-search,https://github.com/dssorokin/react-challenge-sort-and-search,2016-11-28T06:25:18+09,2017-02-26 20:49:32+09:00,3,402,19868,0,0,13,2,1488109772,0.3888166961828335,0.05,0.010663129973474801,1.0,0.0,0.0,0.3611111111111111,0.03076923076923077,0.23017002100458128
vol4/react-challenge-sort-and-search,https://github.com/vol4/react-challenge-sort-and-search,2016-04-12T02:31:39+09,2016-06-24 14:44:05+09:00,6,37700,58,0,0,21,1,1466747045,0.10595925211869725,0.125,1.0,0.0029192671632776324,0.0,0.0,0.5833333333333334,0.015384615384615385,0.22907455849999045
ambrum/react-challenge-sort-and-search,https://github.com/ambrum/react-challenge-sort-and-search,2016-03-22T20:55:54+09,2016-04-05 22:49:16+09:00,9,37578,39,0,0,22,0,1459864156,0.014824988673905833,0.2,0.996763925729443,0.001962955506341856,0.0,0.0,0.6111111111111112,0.0,0.2280828726276002
berkins/react-challenge-sort-and-search,https://github.com/berkins/react-challenge-sort-and-search,2016-12-05T17:42:08+09,2017-01-18 23:29:51+09:00,4,402,19863,0,0,13,2,1484749791,0.34432819816644916,0.075,0.010663129973474801,0.9997483390376485,0.0,0.0,0.3611111111111111,0.03076923076923077,0.2277025011322393
ElForastero/react-challenge-sort-and-search,https://github.com/ElForastero/react-challenge-sort-and-search,2016-03-20T20:05:51+09,2016-03-24 04:27:44+09:00,9,22601,44,0,0,33,0,1458761264,0.00022192736067633067,0.2,0.5994960212201591,0.002214616468693376,0.0,0.0,0.9166666666666666,0.0,0.21482490396452444
xamedow/react-challenge-sort-and-search,https://github.com/xamedow/react-challenge-sort-and-search,2016-04-17T03:37:46+09,2016-08-02 02:40:07+09:00,12,21865,60,1,1,22,1,1470073207,0.149999962926042,0.275,0.579973474801061,0.0030199315482182403,0.08333333333333333,0.0004677268475210477,0.6111111111111112,0.015384615384615385,0.21478626949398777
alexgerasimov73/react-challenge-sort-and-search,https://github.com/alexgerasimov73/react-challenge-sort-and-search,2018-08-05T18:47:36+09,2018-08-15 02:53:35+09:00,3,13786,466,0,0,10,0,1534269215,1.0,0.05,0.3656763925729443,0.023454801691161667,0.0,0.0,0.2777777777777778,0.0,0.21461362150523547
DenisPronin/react-challenge-sort-and-search,https://github.com/DenisPronin/react-challenge-sort-and-search,2016-03-23T18:20:18+09,2016-03-25 22:35:28+09:00,24,1938,99,0,0,36,2,1458912928,0.0022300647766786584,0.575,0.05140583554376658,0.004982887054560097,0.0,0.0,1.0,0.03076923076923077,0.2080485022680295
VanyaSmith/react-challenge-sort-and-search,https://github.com/VanyaSmith/react-challenge-sort-and-search,2016-03-28T01:46:51+09,2017-05-11 02:44:38+09:00,1,21740,57,0,0,22,0,1494438278,0.47261054103721706,0.0,0.576657824933687,0.0028689349708073283,0.0,0.0,0.6111111111111112,0.0,0.20790605150660282
Minoga/react-challenge-sort-and-search,https://github.com/Minoga/react-challenge-sort-and-search,2016-03-23T04:27:29+09,2016-04-25 01:04:57+09:00,1,22723,63,0,0,36,1,1461513897,0.03666871314914779,0.0,0.6027320954907162,0.0031709281256291524,0.0,0.0,1.0,0.015384615384615385,0.20724454401876358
comrade-tea/react-challenge-sort-and-search,https://github.com/comrade-tea/react-challenge-sort-and-search,2018-05-08T18:07:20+09,2018-05-25 21:48:25+09:00,4,10752,500,0,0,13,0,1527252505,0.9070938529365064,0.075,0.28519893899204246,0.025166096235152004,0.0,0.0,0.3611111111111111,0.0,0.20669624990935148
DonRai/react-challenge-sort-and-search,https://github.com/DonRai/react-challenge-sort-and-search,2016-03-20T19:01:53+09,2016-08-09 15:49:57+09:00,1,21589,48,4,16,19,0,1470725397,0.15863541459118705,0.0,0.5726525198938992,0.0024159452385745924,0.3333333333333333,0.007483629560336763,0.5277777777777778,0.0,0.20028732754938858
dmacompton/react-challenge-sort-and-search,https://github.com/dmacompton/react-challenge-sort-and-search,2016-03-20T21:47:12+09,2016-04-18 04:27:52+09:00,8,21841,44,0,0,29,0,1460921272,0.028821943736773204,0.175,0.5793368700265252,0.002214616468693376,0.0,0.0,0.8055555555555556,0.0,0.1988661232234434
Kolandrious/react-challenge-sort-and-search,https://github.com/Kolandrious/react-challenge-sort-and-search,2016-12-20T02:46:00+09,2016-12-26 03:53:51+09:00,18,11031,132,3,19,7,1,1482692031,0.31708201681060366,0.425,0.2925994694960212,0.006643849406080129,0.25,0.008886810102899906,0.19444444444444445,0.015384615384615385,0.1887551507055831
zigmundS/react-challenge-sort-and-search,https://github.com/zigmundS/react-challenge-sort-and-search,2016-03-20T22:01:54+09,2016-05-14 02:33:54+09:00,2,31075,46,0,0,21,0,1463160834,0.05847531070360123,0.025,0.8242705570291777,0.002315280853633984,0.0,0.0,0.5833333333333334,0.0,0.18667431023996828
Vintizer/react-challenge-sort-and-search,https://github.com/Vintizer/react-challenge-sort-and-search,2016-04-13T23:59:14+09,2016-05-25 19:47:21+09:00,6,23505,50,0,0,24,0,1464173241,0.07188028734224104,0.125,0.6234748010610079,0.0025166096235152004,0.0,0.0,0.6666666666666666,0.0,0.18619229558667885
shafua/react-challenge-sort-and-search,https://github.com/shafua/react-challenge-sort-and-search,2016-05-04T22:37:19+09,2016-06-06 11:03:52+09:00,8,391,19862,0,0,6,0,1465178632,0.08519236723471385,0.175,0.010371352785145888,0.9996980068451782,0.0,0.0,0.16666666666666666,0.0,0.1796160491914631
Xirisss/react-challenge-sort-and-search,https://github.com/Xirisss/react-challenge-sort-and-search,2017-04-25T21:37:37+09,2017-05-03 04:29:22+09:00,3,23143,432,0,0,6,1,1493753362,0.4635417742473483,0.05,0.6138726790450928,0.02174350714717133,0.0,0.0,0.16666666666666666,0.015384615384615385,0.1664011553113618
webFarrock/react-challenge-sort-and-search,https://github.com/webFarrock/react-challenge-sort-and-search,2016-03-22T03:10:22+09,2016-03-26 00:47:33+09:00,4,23024,49,0,0,22,0,1458920853,0.0023349973184935814,0.075,0.6107161803713528,0.002466277431044896,0.0,0.0,0.6111111111111112,0.0,0.1627035707790003
TheDarkestDay/react-challenge-sort-and-search,https://github.com/TheDarkestDay/react-challenge-sort-and-search,2016-03-21T20:00:44+09,2016-04-11 02:07:25+09:00,5,21785,36,0,0,19,0,1460308045,0.020702389437777663,0.1,0.5778514588859417,0.0018119589289309443,0.0,0.0,0.5277777777777778,0.0,0.15351794812880348
dalyaka/react-challenge-sort-and-search,https://github.com/dalyaka/react-challenge-sort-and-search,2016-04-03T07:33:55+09,2016-04-10 03:00:55+09:00,2,21870,72,0,0,21,0,1460224855,0.019600895664454835,0.025,0.580106100795756,0.0036239178578618887,0.0,0.0,0.5833333333333334,0.0,0.15145803095642577
KozakSystem/react-challenge-sort-and-search,https://github.com/KozakSystem/react-challenge-sort-and-search,2016-03-22T03:21:03+09,2016-04-05 04:02:24+09:00,2,21825,32,0,0,21,0,1459796544,0.013929758514007972,0.025,0.5789124668435013,0.0016106301590497283,0.0,0.0,0.5833333333333334,0.0,0.15034827360623654
DenisPustuev/react-challenge-sort-and-search,https://github.com/DenisPustuev/react-challenge-sort-and-search,2016-03-25T14:14:42+09,2017-05-24 21:10:20+09:00,4,388,64,4,19,8,1,1495627820,0.4883609089432873,0.075,0.010291777188328912,0.0032212603180994566,0.3333333333333333,0.008886810102899906,0.2222222222222222,0.015384615384615385,0.1445876159365983
osben/react-challenge-sort-and-search,https://github.com/osben/react-challenge-sort-and-search,2016-03-29T11:24:35+09,2016-03-29 12:06:38+09:00,1,21748,46,0,0,20,0,1459220798,0.006306478864825066,0.0,0.5768700265251989,0.002315280853633984,0.0,0.0,0.5555555555555556,0.0,0.1426309177249017
ViktorSoroka07/react-challenge-sort-and-search,https://github.com/ViktorSoroka07/react-challenge-sort-and-search,2016-04-10T21:29:48+09,2016-05-06 08:09:59+09:00,4,458,79,7,17,12,1,1462489799,0.04959033806047483,0.075,0.012148541114058355,0.003976243205154016,0.5833333333333334,0.007951356407857811,0.3333333333333333,0.015384615384615385,0.13508972010485337
phemistokl/react-challenge-sort-and-search,https://github.com/phemistokl/react-challenge-sort-and-search,2016-04-03T04:02:29+09,2016-04-24 19:48:12+09:00,1,20934,0,0,0,15,0,1461494892,0.036417073659281214,0.0,0.5552785145888595,0.0,0.0,0.0,0.4166666666666667,0.0,0.12604528186435093
MiradorOne/react-challenge-sort-and-search,https://github.com/MiradorOne/react-challenge-sort-and-search,2016-06-03T02:25:25+09,2016-11-12 04:29:01+09:00,15,1137,185,1,19,7,1,1478892541,0.2667741122932054,0.35,0.03015915119363395,0.009311455607006242,0.08333333333333333,0.008886810102899906,0.19444444444444445,0.015384615384615385,0.11978674029489234
Fafko/react-challenge-sort-and-search,https://github.com/Fafko/react-challenge-sort-and-search,2016-03-28T04:05:53+09,2016-04-02 23:30:11+09:00,17,360,79,2,13,6,1,1459607411,0.011425505336584402,0.4,0.009549071618037135,0.003976243205154016,0.16666666666666666,0.00608044901777362,0.16666666666666666,0.015384615384615385,0.09746865223693724
dzahkiev/react-challenge-sort-and-search,https://github.com/dzahkiev/react-challenge-sort-and-search,2016-12-28T16:36:26+09,2016-12-30 21:01:48+09:00,6,829,138,0,0,8,1,1483099308,0.32247464909233947,0.125,0.021989389920424405,0.006945842560901953,0.0,0.0,0.2222222222222222,0.015384615384615385,0.08925208989756292
masquel/react-challenge-sort-and-search,https://github.com/masquel/react-challenge-sort-and-search,2016-03-26T01:12:40+09,2016-03-31 19:43:27+09:00,8,418,101,3,19,7,2,1459421007,0.008957386027503157,0.175,0.011087533156498674,0.0050835514395007044,0.25,0.008886810102899906,0.19444444444444445,0.03076923076923077,0.08552861949250971
aleksey-vyaznikov/react-challenge-sort-and-search,https://github.com/aleksey-vyaznikov/react-challenge-sort-and-search,2017-01-16T18:24:05+09,2017-01-21 01:07:49+09:00,1,1078,184,0,0,7,1,1484928469,0.34669401983287274,0.0,0.02859416445623342,0.009261123414535936,0.0,0.0,0.19444444444444445,0.015384615384615385,0.07429729594158774
VladZen/react-challenge-sort-and-search,https://github.com/VladZen/react-challenge-sort-and-search,2016-05-08T21:10:45+09,2016-06-17 15:39:33+09:00,6,5283,100,0,0,6,1,1466145573,0.09799534223976915,0.125,0.14013262599469495,0.005033219247030401,0.0,0.0,0.16666666666666666,0.015384615384615385,0.06877655869159707
gazaret/react-challenge-sort-and-search,https://github.com/gazaret/react-challenge-sort-and-search,2016-10-23T17:33:15+09,2016-10-24 05:11:05+09:00,3,1050,101,0,0,7,1,1477253465,0.24507159987581284,0.05,0.027851458885941646,0.0050835514395007044,0.0,0.0,0.19444444444444445,0.015384615384615385,0.06722945875378938
bububo/react-challenge-sort-and-search,https://github.com/bububo/react-challenge-sort-and-search,2017-05-16T15:48:24+09,2017-05-16 17:43:41+09:00,1,3,3,0,0,0,0,1494924221,0.47904476616872105,0.0,7.957559681697613e-05,0.00015099657741091203,0.0,0.0,0.0,0.0,0.05990941729286862
konstantin24121/react-challenge-sort-and-search,https://github.com/konstantin24121/react-challenge-sort-and-search,2016-03-24T23:54:50+09,2016-08-06 06:05:38+09:00,5,362,52,0,0,6,1,1470431138,0.15473921966097667,0.1,0.00960212201591512,0.0026172740084558083,0.0,0.0,0.16666666666666666,0.015384615384615385,0.05612623721707871
oobidin/react-challenge-sort-and-search,https://github.com/oobidin/react-challenge-sort-and-search,2016-03-29T23:51:45+09,2016-04-04 00:08:16+09:00,8,362,60,0,0,6,1,1459696096,0.012599756752465338,0.175,0.00960212201591512,0.0030199315482182403,0.0,0.0,0.16666666666666666,0.015384615384615385,0.047784136545985095
UladzislauCh/react-challenge-sort-and-search,https://github.com/UladzislauCh/react-challenge-sort-and-search,2016-05-06T20:38:15+09,2016-05-13 00:45:40+09:00,3,624,104,0,0,5,0,1463067940,0.057245329184439656,0.05,0.016551724137931035,0.0052345480169116165,0.0,0.0,0.1388888888888889,0.0,0.0334900612785214
theobroma/react-challenge-sort-and-search,https://github.com/theobroma/react-challenge-sort-and-search,2016-06-15T18:31:59+09,2016-07-15 04:42:21+09:00,2,2,9,0,0,0,0,1468525341,0.12950513469021901,0.025,5.305039787798409e-05,0.0004529897322327361,0.0,0.0,0.0,0.0,0.019376396852541215
