nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
olivierrr/timesheet.js,https://github.com/olivierrr/timesheet.js,2014-09-15T06:40:02+09,2014-09-15T08:08:08+09,2,6,6,0,0,0,0
jpgcc/timesheet.js,https://github.com/jpgcc/timesheet.js,2014-09-22T00:33:22+09,2015-03-04T05:10:53+09,9,139,104,8,2,1,1
semu/timesheet.js,https://github.com/semu/timesheet.js,2014-11-02T19:54:28+09,2014-11-02T20:05:43+09,2,1,1035,1,27,0,22
aweary/timesheet.js,https://github.com/aweary/timesheet.js,2015-03-02T02:37:14+09,2015-03-02T02:55:05+09,1,4,2,0,0,0,0
maximebodereau/StageGate,https://github.com/maximebodereau/StageGate,2015-03-03T23:42:24+09,2015-03-03T23:44:46+09,1,2,28,2,28,0,0
annoyingmouse/timesheet.js,https://github.com/annoyingmouse/timesheet.js,2015-03-03T23:54:38+09,2015-03-03T23:57:35+09,1,1,1,0,0,0,0
zhenghuanpeng1992/timesheet.js,https://github.com/zhenghuanpeng1992/timesheet.js,2015-03-04T15:26:42+09,2015-12-12T21:52:54+09,3,2820,35,0,35,2,1
nagyist/sbstjn-timesheet.js,https://github.com/nagyist/sbstjn-timesheet.js,2015-03-09T04:41:08+09,2018-05-25T06:40:04+09,5,403,424,9,1,7,6
JacobAGTyler/timesheet.js,https://github.com/JacobAGTyler/timesheet.js,2015-03-09T18:25:53+09,2016-03-02T04:43:26+09,5,404,424,9,1,7,6
ntucakovic/timesheet-advanced.js,https://github.com/ntucakovic/timesheet-advanced.js,2015-07-16T23:56:14+09,2016-03-22T22:45:59+09,92,1123,515,60,22,5,6
petrosh/timesheet.js,https://github.com/petrosh/timesheet.js,2016-01-29T03:09:30+09,2016-01-31T04:18:44+09,2,147,55,0,0,2,1
lyndraco/timesheet.js,https://github.com/lyndraco/timesheet.js,2016-12-03T00:50:34+09,2016-12-03T00:54:10+09,2,16,0,0,0,1,0
gisce/timesheet.js,https://github.com/gisce/timesheet.js,2016-12-15T16:42:05+09,2016-12-15T17:01:39+09,4,6,15,6,15,0,0
jhunieray/timesheet.js,https://github.com/jhunieray/timesheet.js,2017-06-18T13:58:25+09,2023-07-11T07:46:29+09,1,15,0,0,0,1,0
irushavm/timesheet.js,https://github.com/irushavm/timesheet.js,2017-09-09T02:37:53+09,2017-09-10T08:42:25+09,2,164,127,28,20,0,0
risk3sixty/timesheet.js,https://github.com/risk3sixty/timesheet.js,2020-02-06T00:00:55+09,2020-02-18T01:57:23+09,24,647,534,5,0,4,4
ltalirz/materialscloud-timeline,https://github.com/ltalirz/materialscloud-timeline,2020-05-04T05:18:16+09,2020-05-04T07:54:38+09,1,64,61,14,25,0,0
alterfo/timesheet.js,https://github.com/alterfo/timesheet.js,2020-10-05T15:20:21+09,2020-10-05T21:32:03+09,3,45,0,0,0,1,0
