nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
ssannandeji/Zenject-2019,https://github.com/ssannandeji/Zenject-2019,2013-08-14T00:14:49+09,2019-05-31 22:11:52+09:00,1565,0,181526,0,3407,0,2140,1559308312,0.6727662330943702,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5840957791367962
eholtrop/Android-MaterialRefreshLayout,https://github.com/eholtrop/Android-MaterialRefreshLayout,2017-01-11T07:08:24+09,2017-01-11 23:34:46+09:00,4,413,240,0,0,3,0,1484145286,0.2409086609283939,0.0019181585677749361,1.0,0.0013221246543194914,0.0,0.0,1.0,0.0,0.28051861801881106
njhuangzf/Android-MaterialRefreshLayout,https://github.com/njhuangzf/Android-MaterialRefreshLayout,2018-09-04T12:25:04+09,2018-09-29 17:06:23+09:00,4,274,38,0,0,3,1,1538208383,0.5515342311947331,0.0019181585677749361,0.6634382566585957,0.00020933640360058616,0.0,0.0,1.0,0.00046728971962616824,0.27719590906804126
gdky005/Android-MaterialRefreshLayout,https://github.com/gdky005/Android-MaterialRefreshLayout,2017-11-05T10:58:45+09,2017-11-05 13:33:38+09:00,2,21,16,2,0,0,0,1509856418,0.3886348453845512,0.0006393861892583121,0.05084745762711865,8.814164362129943e-05,1.0,0.0,0.0,0.0,0.18002622885556868
jebai0521/Android-MaterialRefreshLayout,https://github.com/jebai0521/Android-MaterialRefreshLayout,2016-03-06T18:52:16+09,2021-03-21 02:39:57+09:00,5,151,2126,0,0,0,7,1616261997,1.0,0.0025575447570332483,0.36561743341404357,0.01171182089618016,0.0,0.0,0.0,0.0032710280373831778,0.17289472838808
ppamorim/Android-MaterialRefreshLayout,https://github.com/ppamorim/Android-MaterialRefreshLayout,2015-09-14T20:56:35+09,2015-09-14 22:43:03+09:00,2,128,577,0,0,3,20,1442238183,0.00012671372353407437,0.0006393861892583121,0.3099273607748184,0.0031786080230931106,0.0,0.0,1.0,0.009345794392523364,0.1654022328879034
android-gems/Android-MaterialRefreshLayout,https://github.com/android-gems/Android-MaterialRefreshLayout,2015-09-14T16:35:24+09,2015-09-14 16:35:29+09:00,1,2,0,2,0,0,0,1442216129,0.0,0.0,0.004842615012106538,0.0,1.0,0.0,0.0,0.0,0.12560532687651332
kouhengsheng/Android-MaterialRefreshLayout,https://github.com/kouhengsheng/Android-MaterialRefreshLayout,2019-07-22T19:00:25+09,2019-07-23 12:59:16+09:00,1,18,18,0,0,0,0,1563854356,0.6988860373289644,0.0,0.043583535108958835,9.915934907396185e-05,0.0,0.0,0.0,0.0,0.09282109147337464
rohitiskul/Android-MaterialRefreshLayout,https://github.com/rohitiskul/Android-MaterialRefreshLayout,2015-11-25T23:02:10+09,2015-11-26 18:02:15+09:00,3,137,201,0,0,0,0,1448528535,0.03626863465669866,0.0012787723785166241,0.33171912832929784,0.001107279397992574,0.0,0.0,0.0,0.0,0.04629672684531322
qinhehu/Android-MaterialRefreshLayout,https://github.com/qinhehu/Android-MaterialRefreshLayout,2017-07-26T16:01:06+09,2017-07-26 16:10:40+09:00,1,9,1,0,0,0,0,1501053040,0.3380540525098821,0.0,0.021791767554479417,5.508852726331214e-06,0.0,0.0,0.0,0.0,0.04498141611463598
wyhuster/Android-MaterialRefreshLayout,https://github.com/wyhuster/Android-MaterialRefreshLayout,2016-02-21T17:43:28+09,2016-02-21 17:49:19+09:00,1,1,1,0,0,0,0,1456044559,0.07945279114583749,0.0,0.002421307506053269,5.508852726331214e-06,0.0,0.0,0.0,0.0,0.010234950938077136
shuaqiu/Android-MaterialRefreshLayout,https://github.com/shuaqiu/Android-MaterialRefreshLayout,2015-10-16T17:01:15+09,2015-10-16 17:44:26+09:00,1,6,2,0,0,0,0,1444985066,0.015909237213261505,0.0,0.014527845036319613,1.1017705452662428e-05,0.0,0.0,0.0,0.0,0.0038060124943792226
talenguyen/Android-MaterialRefreshLayout,https://github.com/talenguyen/Android-MaterialRefreshLayout,2015-09-18T19:07:11+09,2015-10-01 18:29:21+09:00,1,2,4,0,0,0,0,1443691761,0.008478408691667418,0.0,0.004842615012106538,2.2035410905324857e-05,0.0,0.0,0.0,0.0,0.00166788238933491
