nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
kondoSoft/que_hacer_movil,https://github.com/kondoSoft/que_hacer_movil,2017-03-23T07:28:07+09,2017-09-30 07:50:03+09:00,94,21649,910,177,127,1038,3,1506725403,0.3050644256545176,1.0,0.17567534670096485,0.291106845809341,1.0,0.7514792899408284,1.0,0.046875,0.5712751135132065
jacktator/react-native-template,https://github.com/jacktator/react-native-template,2017-06-15T14:20:28+09,2017-06-22 10:30:58+09:00,7,123233,1008,94,169,165,8,1498095058,0.23933955743008553,0.06451612903225806,1.0,0.32245681381957775,0.5310734463276836,1.0,0.15895953757225434,0.125,0.4301681855227324
Stonelinks/native-starter-kit,https://github.com/Stonelinks/native-starter-kit,2016-11-01T11:54:09+09,2016-11-01 13:06:41+09:00,2,16,2345,16,157,0,64,1477973201,0.08610044592806966,0.010752688172043012,0.0001298353525435557,0.7501599488163787,0.0903954802259887,0.9289940828402367,0.0,1.0,0.35831656016690755
janstrohbeck/native-starter-kit,https://github.com/janstrohbeck/native-starter-kit,2017-10-10T16:39:46+09,2017-10-10 18:18:38+09:00,1,5080,3126,3,10,38,29,1507627118,0.3119314859575522,0.0,0.04122272443257893,1.0,0.01694915254237288,0.05917159763313609,0.036608863198458574,0.453125,0.23987610297051234
pranavrajs/native-starter-kit,https://github.com/pranavrajs/native-starter-kit,2016-10-21T17:39:05+09,2017-04-05 16:14:12+09:00,25,10481,863,13,60,53,24,1491376452,0.18817364297337744,0.25806451612903225,0.08505027062556296,0.2760716570697377,0.07344632768361582,0.35502958579881655,0.051059730250481696,0.375,0.20773696631632801
S-Kaushik/nativebase-todo-app,https://github.com/S-Kaushik/nativebase-todo-app,2016-06-22T22:50:53+09,2016-06-23 16:35:35+09:00,2,1,165,1,165,0,0,1466667335,0.0,0.010752688172043012,8.114709533972231e-06,0.052783109404990404,0.005649717514124294,0.9763313609467456,0.0,0.0,0.13069062384342967
arunkarka/native-starter-kit,https://github.com/arunkarka/native-starter-kit,2020-05-15T14:43:57+09,2020-08-21 11:38:46+09:00,1,10,4,0,0,0,0,1597977526,1.0,0.0,8.114709533972231e-05,0.0012795905310300703,0.0,0.0,0.0,0.0,0.12517009220329622
Maelstroms/touro,https://github.com/Maelstroms/touro,2017-08-11T00:17:10+09,2017-08-30 09:19:20+09:00,21,2662,49,1,0,47,14,1504052360,0.2847077192965167,0.21505376344086022,0.021601356779434082,0.015674984005118364,0.005649717514124294,0.0,0.04527938342967245,0.21875,0.10083961555821577
petekeller2/native-starter-kit,https://github.com/petekeller2/native-starter-kit,2018-09-12T09:48:53+09,2018-09-12 09:58:43+09:00,1,1,1,0,0,0,0,1536713923,0.5334436532804983,0.0,8.114709533972231e-06,0.0003198976327575176,0.0,0.0,0.0,0.0,0.06672145820284872
adorris1/native-starter-kit,https://github.com/adorris1/native-starter-kit,2016-12-30T10:00:06+09,2017-04-03 08:34:03+09:00,11,1954,95,0,0,34,0,1491176043,0.18664741718333194,0.10752688172043011,0.01585614242938174,0.030390275111964172,0.0,0.0,0.03275529865125241,0.0,0.04664700188704504
