nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
andyklimczak/webpack_react,https://github.com/andyklimczak/webpack_react,2016-01-09T00:50:10+09,2016-02-17 11:27:52+09:00,191,2673,1708,7,2,7,0,1455676072,0.20087053021290774,1.0,1.0,1.0,0.30434782608695654,0.08695652173913043,0.17073170731707318,0.0,0.4703633231695085
survivejs-translations/react-book-es,https://github.com/survivejs-translations/react-book-es,2017-02-17T15:58:58+09,2017-06-05 01:41:19+09:00,28,1034,1054,23,23,0,0,1496594479,0.5530556714752454,0.14210526315789473,0.3868312757201646,0.617096018735363,1.0,1.0,0.0,0.0,0.46238602863608347
davegomez/webpack_react,https://github.com/davegomez/webpack_react,2015-12-30T11:46:05+09,2016-01-07 01:22:37+09:00,68,1608,1114,0,0,2,6,1452097357,0.17006849415581865,0.3526315789473684,0.6015712682379349,0.6522248243559718,0.0,0.0,0.04878048780487805,1.0,0.35315958168774647
JinJinHrb/webpack_react,https://github.com/JinJinHrb/webpack_react,2016-05-22T10:35:10+09,2016-06-15 15:30:47+09:00,61,2670,71,0,0,41,0,1465972247,0.28948981216190317,0.3157894736842105,0.9988776655443322,0.04156908665105386,0.0,0.0,1.0,0.0,0.3307157547551875
jriggs/react,https://github.com/jriggs/react,2016-06-08T21:32:35+09,2018-03-14 00:31:52+09:00,93,722,140,2,2,1,0,1520955112,0.7627278851160395,0.4842105263157895,0.27010849233071454,0.08196721311475409,0.08695652173913043,0.08695652173913043,0.024390243902439025,0.0,0.2246646755322497
firedev/webpack_react,https://github.com/firedev/webpack_react,2015-07-10T12:30:26+09,2015-07-12 00:54:15+09:00,33,250,210,9,7,0,1,1436630055,0.03694127002372479,0.16842105263157894,0.09352787130564909,0.12295081967213115,0.391304347826087,0.30434782608695654,0.0,0.16666666666666666,0.1605199817765993
aladdin-add/react-book,https://github.com/aladdin-add/react-book,2017-11-09T21:21:34+09,2018-03-14 00:31:52+09:00,17,610,25,0,0,1,0,1520955112,0.7627278851160395,0.08421052631578947,0.22820800598578375,0.014637002341920375,0.0,0.0,0.024390243902439025,0.0,0.13927170795774652
mehrdad-shokri/react-book,https://github.com/mehrdad-shokri/react-book,2017-11-15T14:37:20+09,2018-03-14 00:31:52+09:00,17,610,25,0,0,1,0,1520955112,0.7627278851160395,0.08421052631578947,0.22820800598578375,0.014637002341920375,0.0,0.0,0.024390243902439025,0.0,0.13927170795774652
dekelea/react,https://github.com/dekelea/react,2016-06-19T06:59:12+09,2019-01-27 02:07:02+09:00,2,1,1,0,0,0,0,1548522422,1.0,0.005263157894736842,0.0003741114852225963,0.000585480093676815,0.0,0.0,0.0,0.0,0.12577784368420453
idirver/webpack_react,https://github.com/idirver/webpack_react,2015-08-27T11:24:26+09,2018-02-25 14:47:34+09:00,8,7,0,0,0,4,0,1519537654,0.7505278098305224,0.03684210526315789,0.002618780396558174,0.0,0.0,0.0,0.0975609756097561,0.0,0.11094370888749931
anthonybrown/react-2,https://github.com/anthonybrown/react-2,2016-06-12T06:51:01+09,2016-10-17 16:03:29+09:00,37,49,54,1,1,0,0,1476687809,0.38171876224481666,0.18947368421052632,0.01833146277590722,0.03161592505854801,0.043478260869565216,0.043478260869565216,0.0,0.0,0.08851204450361608
Alex-Sokolov/react-book,https://github.com/Alex-Sokolov/react-book,2017-03-02T05:56:11+09,2017-03-02 05:58:45+09:00,1,0,0,0,0,0,0,1488401925,0.482542276665195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060317784583149375
TomV/react,https://github.com/TomV/react,2016-11-04T21:40:06+09,2016-11-06 08:22:21+09:00,8,14,10,0,0,0,0,1478388141,0.3963535368980155,0.03684210526315789,0.005237560793116348,0.00585480093676815,0.0,0.0,0.0,0.0,0.055536000486382235
SIRHAMY/react,https://github.com/SIRHAMY/react,2016-06-07T12:04:57+09,2016-06-09 00:22:15+09:00,10,24,24,0,0,0,0,1465399335,0.28455875280636944,0.04736842105263158,0.008978675645342313,0.01405152224824356,0.0,0.0,0.0,0.0,0.04436967146907336
wilsonmar/webpack_react,https://github.com/wilsonmar/webpack_react,2016-01-25T10:28:44+09,2016-01-25 14:16:33+09:00,2,1,1,1,1,0,0,1453698993,0.18385379134275082,0.005263157894736842,0.0003741114852225963,0.000585480093676815,0.043478260869565216,0.043478260869565216,0.0,0.0,0.03462913281943969
pugnascotia/webpack_react,https://github.com/pugnascotia/webpack_react,2016-03-08T05:24:42+09,2016-03-08 05:26:59+09:00,1,1,1,0,0,0,0,1457382419,0.21555707603170185,0.0,0.0003741114852225963,0.000585480093676815,0.0,0.0,0.0,0.0,0.027064583451325157
alexshepard/webpack_react,https://github.com/alexshepard/webpack_react,2016-02-20T09:21:35+09,2016-02-20 09:25:27+09:00,1,2,2,0,0,0,0,1455927927,0.20303824873510304,0.0,0.0007482229704451926,0.00117096018735363,0.0,0.0,0.0,0.0,0.025619678986612732
hettlage/webpack_react,https://github.com/hettlage/webpack_react,2016-01-08T04:15:39+09,2016-01-13 05:52:31+09:00,3,10,8,0,0,0,0,1452631951,0.17466975009933566,0.010526315789473684,0.0037411148522259632,0.00468384074941452,0.0,0.0,0.0,0.0,0.024202627686306228
xuyuanme/webpack_react,https://github.com/xuyuanme/webpack_react,2015-11-30T14:57:10+09,2015-11-30 21:24:34+09:00,3,3,2,0,0,0,0,1448886274,0.14243067042626606,0.010526315789473684,0.001122334455667789,0.00117096018735363,0.0,0.0,0.0,0.0,0.019406285107345145
mitchoneill/webpack_react,https://github.com/mitchoneill/webpack_react,2015-12-12T17:54:47+09,2015-12-12 17:57:27+09:00,1,1,1,0,0,0,0,1449910647,0.15124745915683233,0.0,0.0003741114852225963,0.000585480093676815,0.0,0.0,0.0,0.0,0.019025881341966467
yonibot/webpack_react,https://github.com/yonibot/webpack_react,2015-07-12T00:34:59+09,2015-07-12 00:48:47+09:00,2,1,1,1,1,0,0,1436629727,0.03693844692442051,0.005263157894736842,0.0003741114852225963,0.000585480093676815,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0162647147671484
emcpadden/webpack_react,https://github.com/emcpadden/webpack_react,2015-10-11T22:19:14+09,2015-10-11 22:27:55+09:00,1,1,1,0,0,0,0,1444570075,0.10528110215173961,0.0,0.0003741114852225963,0.000585480093676815,0.0,0.0,0.0,0.0,0.013280086716329877
montogeek/webpack_react,https://github.com/montogeek/webpack_react,2015-08-28T08:08:04+09,2015-09-01 09:11:16+09:00,1,3,13,0,0,0,0,1441066276,0.07512386886135669,0.0,0.001122334455667789,0.007611241217798595,0.0,0.0,0.0,0.0,0.010482180566852885
jugend/webpack_react,https://github.com/jugend/webpack_react,2015-07-21T07:17:22+09,2015-07-21 07:21:31+09:00,1,23,27,0,0,0,0,1437430891,0.04383407354337221,0.0,0.008604564160119716,0.015807962529274005,0.0,0.0,0.0,0.0,0.008530825029095742
dbunskoek/webpack_react,https://github.com/dbunskoek/webpack_react,2015-06-28T20:58:50+09,2015-06-28 22:02:46+09:00,1,23,23,0,0,0,0,1435496566,0.02718531878192044,0.0,0.008604564160119716,0.013466042154566744,0.0,0.0,0.0,0.0,0.006156990637075863
