nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
qwales1/re-base,https://github.com/qwales1/re-base,2016-06-06T07:05:17+09,2017-11-11 11:36:25+09:00,328,24821,2793,861,189,69,8,1510367785,0.7562722639804541,1.0,1.0,1.0,1.0,0.6872727272727273,1.0,1.0,0.9304431239066477
Mattlk13/re-base,https://github.com/Mattlk13/re-base,2018-05-10T03:08:25+09,2018-07-23 15:03:58+09:00,13,4141,1856,338,275,0,0,1532325838,1.0,0.03669724770642202,0.16680096696212732,0.6645184389545292,0.39256678281068524,1.0,0.0,0.0,0.4075729295542205
BentoBrowser/re-base,https://github.com/BentoBrowser/re-base,2018-06-06T04:08:49+09,2018-06-20 14:19:46+09:00,3,1237,232,0,0,0,0,1529471986,0.9683231073859393,0.0061162079510703364,0.04979854955680903,0.08306480486931615,0.0,0.0,0.0,0.0,0.13841283372039184
jackoliver/re-base,https://github.com/jackoliver/re-base,2017-12-15T21:32:13+09,2017-12-15 21:34:37+09:00,1,2,30,2,30,0,0,1513341277,0.7892771243490957,0.0,4.0290088638195005e-05,0.010741138560687433,0.0023228803716608595,0.10909090909090909,0.0,0.0,0.11393404280762391
TheHandsomeCoder/re-base,https://github.com/TheHandsomeCoder/re-base,2017-05-11T06:00:16+09,2017-07-17 22:36:00+09:00,15,792,85,4,2,2,0,1500298560,0.6445069169926583,0.04281345565749235,0.03186946011281225,0.030433225921947728,0.004645760743321719,0.007272727272727273,0.028985507246376812,0.0,0.09881588174341704
johnlindquist/re-base,https://github.com/johnlindquist/re-base,2017-04-14T06:34:59+09,2017-04-14 07:11:13+09:00,1,592,559,0,0,0,0,1492121473,0.5537437285740466,0.0,0.023811442385173246,0.20014321518080916,0.0,0.0,0.0,0.0,0.09721229826750363
srinivasdamam/re-base,https://github.com/srinivasdamam/re-base,2016-09-21T16:39:17+09,2016-10-20 02:27:37+09:00,3,17,26,17,26,0,0,1476898057,0.3847684229691403,0.0061162079510703364,0.0006446414182111201,0.009308986752595776,0.019744483159117306,0.09454545454545454,0.0,0.0,0.06439102459944868
bgates/re-base,https://github.com/bgates/re-base,2016-11-16T05:14:49+09,2016-11-16 05:21:20+09:00,1,49,10,0,0,0,0,1479241280,0.4107774883803099,0.0,0.0019339242546333602,0.0035803795202291443,0.0,0.0,0.0,0.0,0.05203647401939655
bfollington/re-base,https://github.com/bfollington/re-base,2015-12-30T06:14:23+09,2016-04-17 18:34:55+09:00,25,167,28,11,5,0,0,1460885695,0.20703605577859718,0.07339449541284404,0.00668815471394037,0.010025062656641603,0.012775842044134728,0.01818181818181818,0.0,0.0,0.04101267859849701
granmoe/re-base,https://github.com/granmoe/re-base,2016-02-23T13:31:37+09,2016-02-25 14:03:11+09:00,3,62,50,0,0,0,0,1456376591,0.156986367429786,0.0061162079510703364,0.0024576954069298954,0.01790189760114572,0.0,0.0,0.0,0.0,0.022932771048616494
anthonybrown/re-base,https://github.com/anthonybrown/re-base,2016-02-26T12:13:05+09,2016-03-15 11:12:34+09:00,2,1,1,1,1,0,0,1458007954,0.17509400250180512,0.0030581039755351682,0.0,0.00035803795202291446,0.0011614401858304297,0.0036363636363636364,0.0,0.0,0.02291349353144466
dswaby/re-base,https://github.com/dswaby/re-base,2016-03-15T04:31:05+09,2016-03-15 04:32:45+09:00,1,1,1,1,1,0,0,1457983965,0.17482773186936912,0.0,0.0,0.00035803795202291446,0.0011614401858304297,0.0036363636363636364,0.0,0.0,0.022497946705448264
foffer/re-base,https://github.com/foffer/re-base,2016-03-16T03:18:14+09,2016-03-16 03:39:00+09:00,1,71,0,0,0,0,0,1458067140,0.17575094917116843,0.0,0.0028203062046736503,0.0,0.0,0.0,0.0,0.0,0.02232140692198026
ojame/re-base,https://github.com/ojame/re-base,2015-11-28T19:36:42+09,2015-11-29 08:19:04+09:00,7,194,3,30,0,0,0,1448752744,0.0723639754048917,0.01834862385321101,0.007775987107171636,0.0010741138560687433,0.03484320557491289,0.0,0.0,0.0,0.016800738224532
benthemonkey/re-base,https://github.com/benthemonkey/re-base,2016-01-09T09:00:27+09,2016-01-12 08:47:31+09:00,3,11,6,4,1,0,0,1452556051,0.11457953087774217,0.0061162079510703364,0.00040290088638195,0.0021482277121374865,0.004645760743321719,0.0036363636363636364,0.0,0.0,0.016441123975877162
bdougie/re-base,https://github.com/bdougie/re-base,2015-12-20T18:12:52+09,2015-12-20 18:13:59+09:00,1,1,1,1,1,0,0,1450602839,0.09289946941117184,0.0,0.0,0.00035803795202291446,0.0011614401858304297,0.0036363636363636364,0.0,0.0,0.012256913898173603
marchon/re-base,https://github.com/marchon/re-base,2015-12-12T17:25:05+09,2015-12-12 18:18:57+09:00,4,12,6,0,0,0,0,1449911937,0.085230666522711,0.009174311926605505,0.00044319097502014507,0.0021482277121374865,0.0,0.0,0.0,0.0,0.012124549642059267
reflog/re-base,https://github.com/reflog/re-base,2015-12-10T19:27:25+09,2015-12-10 19:29:21+09:00,1,10,0,0,0,0,0,1449743361,0.08335952399348807,0.0,0.00036261079774375503,0.0,0.0,0.0,0.0,0.0,0.01046526684890398
fdidron/re-base,https://github.com/fdidron/re-base,2015-08-28T13:05:43+09,2015-09-14 21:21:29+09:00,5,187,8,37,0,0,0,1442233289,0.0,0.012232415902140673,0.007493956486704271,0.0028643036161833156,0.0429732868757259,0.0,0.0,0.0,0.008195495360094271
jcgertig/re-base,https://github.com/jcgertig/re-base,2015-09-13T00:42:03+09,2015-10-05 11:36:42+09:00,7,55,35,0,0,0,0,1444012602,0.019749835249971672,0.01834862385321101,0.0021756647864625304,0.012531328320802004,0.0,0.0,0.0,0.0,0.006600681526305902
golmansax/re-base,https://github.com/golmansax/re-base,2015-10-21T14:09:15+09,2015-10-21 15:02:01+09:00,1,29,32,0,0,0,0,1445407321,0.035230793614242174,0.0,0.0011281224818694602,0.011457214464733263,0.0,0.0,0.0,0.0,0.005977016320105612
