nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
nakamura-to/spring-react-example,https://github.com/nakamura-to/spring-react-example,2015-02-21T08:44:32+09,2015-02-24 23:57:58+09:00,11,491,18424,24,3,10,5,1424789878,0.0,1.0,0.008091494866597453,1.0,1.0,1.0,0.00929368029739777,1.0,0.6271731468954994
StarterInc/Ignite-Spring-React,https://github.com/StarterInc/Ignite-Spring-React,2016-03-02T01:56:25+09,2016-03-05 02:04:23+09:00,2,60681,5,0,0,1076,0,1457111063,0.33824157727985693,0.1,1.0,0.00016284876777765715,0.0,0.0,1.0,0.0,0.30480055325595434
wangzhengbo/spring-react-example,https://github.com/wangzhengbo/spring-react-example,2017-09-15T13:54:05+09,2017-09-28 11:23:21+09:00,5,6605,27,0,0,7,0,1506565401,0.8557818001538378,0.4,0.10884790955982927,0.0013570730648138096,0.0,0.0,0.006505576208178439,0.0,0.17156154487333242
chenhongen/spring-react-example,https://github.com/chenhongen/spring-react-example,2018-03-06T17:38:01+09,2018-03-06 23:26:29+09:00,2,6,22,0,0,0,1,1520346389,1.0,0.1,9.887773767736194e-05,0.0010856584518510477,0.0,0.0,0.0,0.2,0.16264806702369106
simbo1905/spring-react-example,https://github.com/simbo1905/spring-react-example,2018-02-14T20:13:24+09,2018-02-14 20:17:18+09:00,1,98,2,0,0,0,0,1518607038,0.9817976715370028,0.0,0.0016150030487302452,0.0,0.0,0.0,0.0,0.0,0.12292658432321663
prashish14/spring-react-example,https://github.com/prashish14/spring-react-example,2017-10-25T05:00:10+09,2017-10-25 09:29:36+09:00,1,0,3,0,0,0,0,1508891376,0.8801231556057965,0.0,0.0,5.428292259255238e-05,0.0,0.0,0.0,0.0,0.11002217981604863
svdberg/spring-react-example,https://github.com/svdberg/spring-react-example,2015-06-27T17:49:08+09,2015-07-13 18:37:45+09:00,2,3092,57,0,0,10,1,1436780265,0.12547953953655758,0.1,0.050954994149733854,0.002985560742590381,0.0,0.0,0.00929368029739777,0.2,0.06108922184078494
blacklgarto/spring-react-example,https://github.com/blacklgarto/spring-react-example,2016-05-19T06:11:51+09,2016-05-19 06:45:12+09:00,1,91,30,0,0,3,0,1463607912,0.4062311776954686,0.0,0.001499645688106656,0.0015199218325914667,0.0,0.0,0.0027881040892193307,0.0,0.05150485616317326
psporysz/spring-react-example,https://github.com/psporysz/spring-react-example,2015-09-09T00:41:02+09,2015-09-09 00:49:42+09:00,2,7,2,0,0,0,0,1441727382,0.17725117653155,0.1,0.00011535736062358893,0.0,0.0,0.0,0.0,0.0,0.0346708167365217
brdloush/spring-react-example,https://github.com/brdloush/spring-react-example,2015-04-20T20:30:25+09,2015-04-20 22:53:04+09:00,2,31,17,0,0,0,0,1429537984,0.049688984563281094,0.1,0.0005108683113330367,0.0008142438388882857,0.0,0.0,0.0,0.0,0.0188767620891878
