nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork
s4ke/java-speech-api,https://github.com/s4ke/java-speech-api,2018-08-24T21:44:52+09,2019-10-28T00:19:33+09,3
Yehorchenkov/java-speech-api,https://github.com/Yehorchenkov/java-speech-api,2015-06-25T02:55:57+09,2019-05-02T10:19:42+09,40
dukefirehawk/java-speech-api,https://github.com/dukefirehawk/java-speech-api,2015-12-06T19:48:56+09,2019-05-02T10:19:42+09,24
2bon/java-speech-api,https://github.com/2bon/java-speech-api,2018-06-05T03:39:39+09,2019-05-02T10:19:42+09,1
m1st0/java-speech-api,https://github.com/m1st0/java-speech-api,2018-05-14T17:59:48+09,2018-05-14T18:02:58+09,1
goxr3plus/java-speech-api,https://github.com/goxr3plus/java-speech-api,2017-08-26T04:02:13+09,2017-11-26T02:05:15+09,18
qasim9872/java-speech-api,https://github.com/qasim9872/java-speech-api,2017-07-17T11:24:27+09,2017-07-17T12:59:14+09,2
plcnhlv/java-speech-api,https://github.com/plcnhlv/java-speech-api,2017-05-25T10:50:22+09,2017-05-30T16:18:50+09,1
rlugojr/java-speech-api,https://github.com/rlugojr/java-speech-api,2016-05-03T13:52:11+09,2016-06-09T06:56:18+09,7
amplexus/java-speech-api,https://github.com/amplexus/java-speech-api,2015-10-01T22:43:55+09,2015-10-10T13:31:18+09,6
axgusan/java-speech-api,https://github.com/axgusan/java-speech-api,2015-10-01T22:18:08+09,2015-10-05T23:12:58+09,27
Jerry0022/java-speech-api,https://github.com/Jerry0022/java-speech-api,2015-08-10T00:26:36+09,2015-08-29T16:43:13+09,4
AdamuKaapan/java-speech-api,https://github.com/AdamuKaapan/java-speech-api,2015-08-19T14:44:24+09,2015-08-19T15:45:04+09,1
soubhik/java-speech-api,https://github.com/soubhik/java-speech-api,2014-10-03T05:05:23+09,2014-10-03T06:17:15+09,2
vishbin/java-speech-api,https://github.com/vishbin/java-speech-api,2014-03-25T16:12:47+09,2014-08-28T16:12:31+09,3
Jarvis-CM/frameworks_speechapi,https://github.com/Jarvis-CM/frameworks_speechapi,2014-02-02T21:13:21+09,2014-02-28T07:47:10+09,6
AllanHasegawa/java-speech-api,https://github.com/AllanHasegawa/java-speech-api,2013-11-08T14:29:23+09,2013-11-08T14:42:34+09,1
ClusterM/java-speech-api,https://github.com/ClusterM/java-speech-api,2013-11-06T01:59:17+09,2013-11-06T02:00:09+09,1
duncanj/java-speech-api,https://github.com/duncanj/java-speech-api,2013-02-23T20:50:39+09,2013-02-23T21:02:19+09,1
qertoip/java-speech-api,https://github.com/qertoip/java-speech-api,2012-10-31T03:10:24+09,2012-10-31T03:37:02+09,3
